category,method,auroc_mean,auroc_sd,ap_mean
bottle,PatchScore_same_centers,1.0,0.0,0.9999999999999997
bottle,PatchScore_byte_budget,1.0,0.0,0.9999999999999997
bottle,RBF_SVDD,0.7703703703703705,0.02749668815043839,0.9298003431291026
bottle,DeepSVDD_head,0.9783068783068782,0.007708360997001757,0.9933932307507796
bottle,DROCC_head,0.5825396825396826,0.1429629237993359,0.8090623654319727
bottle,Bubble_A,0.5433862433862434,0.051448735350779956,0.8145896975521157
bottle,Bubble_B,0.5481481481481482,0.040672828713390924,0.8176210310671772
bottle,Bubble_A+D,0.4666666666666666,0.04215324357107775,0.7504205273965462
bottle,Bubble_B+D,0.46798941798941796,0.04098138917654382,0.7514389529639732
cable,PatchScore_same_centers,0.9720139930034982,0.010595225664346298,0.9838618685964763
cable,PatchScore_byte_budget,0.9988755622188904,0.0005622188905547165,0.9993345181073128
cable,RBF_SVDD,0.7817966016991504,0.010248114760183917,0.872367725379119
cable,DeepSVDD_head,0.7008995502248876,0.004818200949093923,0.8191310105632565
cable,DROCC_head,0.4714205397301349,0.021713468090043268,0.605414021220236
cable,Bubble_A,0.8671289355322339,0.009102237214828213,0.9228187095523688
cable,Bubble_B,0.8813718140929536,0.012862954434705686,0.9315640415803165
cable,Bubble_A+D,0.7421914042978511,0.03347830479070169,0.8443333524368811
cable,Bubble_B+D,0.7436281859070464,0.031439605660435944,0.8407378846565207
capsule,PatchScore_same_centers,0.927536231884058,0.010404148469346808,0.9828139302860421
capsule,PatchScore_byte_budget,0.970748570668794,0.01128446876357866,0.9928753152016344
capsule,RBF_SVDD,0.6044408988166468,0.002993838651561686,0.8901422109486007
capsule,DeepSVDD_head,0.7411248504188274,0.040346392429341356,0.9392056893911028
capsule,DROCC_head,0.5128972211142135,0.024263386635383216,0.850985191777025
capsule,Bubble_A,0.7743651110224704,0.016041516959825267,0.9470245424040539
capsule,Bubble_B,0.7767584097859327,0.01438930914343151,0.9474507303230707
capsule,Bubble_A+D,0.6739795239994683,0.031360772211792204,0.918554785507474
capsule,Bubble_B+D,0.6714532641935914,0.033549683362966,0.9172930801051006
carpet,PatchScore_same_centers,0.9886302835741038,0.0010098761951940595,0.9966271159086982
carpet,PatchScore_byte_budget,0.9866238630283574,0.0019794875049424835,0.9960555125142404
carpet,RBF_SVDD,0.9862225789192083,0.001009876195194043,0.9959306306637362
carpet,DeepSVDD_head,0.9067683253076511,0.036102934594932246,0.9730849566882313
carpet,DROCC_head,0.7748796147672552,0.21235324154179852,0.9170914158478586
carpet,Bubble_A,0.8738630283574104,0.025959959886491534,0.927366846231986
carpet,Bubble_B,0.8852327447833065,0.034651876145815094,0.9339089538926083
carpet,Bubble_A+D,0.8539325842696629,0.07101821817298502,0.9269441955859926
carpet,Bubble_B+D,0.8543338683788123,0.08106236982587883,0.9261397859077825
grid,PatchScore_same_centers,0.93734335839599,0.015651624056136338,0.978687595872442
grid,PatchScore_byte_budget,0.960735171261487,0.005478227672766804,0.9870232969320334
grid,RBF_SVDD,0.606516290726817,0.007518796992481189,0.8186526240464523
grid,DeepSVDD_head,0.6828181565023671,0.013887449334215207,0.8646755330960403
grid,DROCC_head,0.3939014202172097,0.12761120613761168,0.6795602249940164
grid,Bubble_A,0.8783068783068783,0.006752634727364004,0.9511402089726421
grid,Bubble_B,0.8738512949039264,0.008722060575531002,0.9490004289851471
grid,Bubble_A+D,0.7390698969646339,0.0068041168047176795,0.89022781937975
grid,Bubble_B+D,0.7321080478975216,0.009202289970402868,0.886987233746523
hazelnut,PatchScore_same_centers,1.0,0.0,0.9999999999999997
hazelnut,PatchScore_byte_budget,1.0,0.0,0.9999999999999997
hazelnut,RBF_SVDD,0.8773809523809524,0.005105186105331326,0.939121946270793
