category,final_score,component_score,auroc_delta_mean,auroc_delta_sd,status
bottle,Bubble_A+D,Bubble_A,-0.07671957671957673,0.01597848557729267,reduced
cable,Bubble_A+D,Bubble_A,-0.12493753123438282,0.02585482519562079,reduced
capsule,Bubble_A+D,Bubble_A,-0.1003855870230022,0.03617615614025575,reduced
carpet,Bubble_A+D,Bubble_A,-0.019930444087747506,0.04565933138267377,reduced
grid,Bubble_A+D,Bubble_A,-0.1392369813422445,0.006043590758621804,reduced
hazelnut,Bubble_A+D,Bubble_A,-0.09714285714285713,0.020294389493107568,reduced
leather,Bubble_A+D,Bubble_A,-0.051403985507246376,0.019940719967813353,reduced
metal_nut,Bubble_A+D,Bubble_A,-0.04431410883023786,0.027376296919250538,reduced
pill,Bubble_A+D,Bubble_A,0.023731587561374796,0.030009174991410675,improved
screw,Bubble_A+D,Bubble_A,-0.040035526405684196,0.01186173910730933,reduced
tile,Bubble_A+D,Bubble_A,0.00468975468975467,0.002817550388133802,improved
toothbrush,Bubble_A+D,Bubble_A,-0.038888888888888896,0.019245008972987587,reduced
transistor,Bubble_A+D,Bubble_A,-0.04125000000000001,0.012672421938121162,reduced
wood,Bubble_A+D,Bubble_A,-0.18333333333333335,0.16141065964327092,reduced
zipper,Bubble_A+D,Bubble_A,-0.01693802521008414,0.009793266988336968,reduced
bottle,Bubble_B+D,Bubble_B,-0.08015873015873022,0.00915282745608789,reduced
cable,Bubble_B+D,Bubble_B,-0.1377436281859071,0.030049943741733347,reduced
capsule,Bubble_B+D,Bubble_B,-0.10530514559234143,0.03325116162164734,reduced
carpet,Bubble_B+D,Bubble_B,-0.030898876404494364,0.04670566070855124,reduced
grid,Bubble_B+D,Bubble_B,-0.14174324700640495,0.007487791511973636,reduced
hazelnut,Bubble_B+D,Bubble_B,-0.09535714285714292,0.010932305617867018,reduced
leather,Bubble_B+D,Bubble_B,-0.07778532608695654,0.05427453448018796,reduced
metal_nut,Bubble_B+D,Bubble_B,-0.047735418703160594,0.021289535645382364,reduced
pill,Bubble_B+D,Bubble_B,0.014457174031642114,0.019963092704344737,improved
screw,Bubble_B+D,Bubble_B,-0.04092368654778985,0.01586863703781647,reduced
tile,Bubble_B+D,Bubble_B,0.006313131313131455,0.004029276317404261,improved
toothbrush,Bubble_B+D,Bubble_B,-0.04259259259259255,0.024269152633483646,reduced
transistor,Bubble_B+D,Bubble_B,-0.057638888888888906,0.014411688286223143,reduced
wood,Bubble_B+D,Bubble_B,-0.20131578947368414,0.16571345607080354,reduced
zipper,Bubble_B+D,Bubble_B,-0.021227240896358596,0.01655470877255748,reduced
