method,seed,auroc,average_precision,test_fpr,test_tpr
PatchScore_same_centers,0,0.9559583798734973,0.9861293861613263,0.10788742462330009,0.7890163005803051
PatchScore_byte_budget,0,0.9835201734089485,0.9951849997965087,0.15064939623216242,0.8671291419866253
RBF_SVDD,0,0.7792998341994858,0.9028163394126822,0.06035665998947353,0.4413892356036759
DeepSVDD_head,0,0.8104835233519625,0.9116554225302184,0.07943079589221856,0.492121112197299
DROCC_head,0,0.5438699519412101,0.7504706052197164,0.029977422003284068,0.1273349323959822
Bubble_A,0,0.8104083212227375,0.9236877069100248,0.07628028404344193,0.4398631875070324
Bubble_B,0,0.8106337474791409,0.9240586262680421,0.10663116123642438,0.506217279764084
Bubble_A+D,0,0.7356225314367634,0.8800690262257489,0.07742568834674098,0.3254333895086401
Bubble_B+D,0,0.7309075415847572,0.8760820303629349,0.0801042597753124,0.323251232868518
PatchScore_same_centers,1,0.960225327865531,0.9870816376869048,0.12301410127743669,0.7947128259004614
PatchScore_byte_budget,1,0.9876194531238334,0.9963908894462017,0.12104175168711978,0.8673210144726177
RBF_SVDD,1,0.7843476446325437,0.9061160956775605,0.061814663208520984,0.45541131198199164
DeepSVDD_head,1,0.8104427193398602,0.9116426856434512,0.08058323839779949,0.5039709992260796
DROCC_head,1,0.561617143876232,0.7713024882897055,0.022419207743009248,0.13214621717386282
Bubble_A,1,0.8193373033894286,0.9271809878312055,0.1461858161335228,0.527823282958406
Bubble_B,1,0.824068782554121,0.930866015575634,0.13342611515694341,0.5308566488968808
Bubble_A+D,1,0.7592568992459685,0.8945489361219532,0.13108590783213997,0.4671693267198508
Bubble_B+D,1,0.7547799454546292,0.8915691231782354,0.12430560480183693,0.475226710800401
PatchScore_same_centers,2,0.9595575714459837,0.9869746756028802,0.10980148733311543,0.7946686064801249
PatchScore_byte_budget,2,0.9858297194615734,0.9960210197505778,0.1251525969821756,0.8779693887563575
RBF_SVDD,2,0.7824972360702259,0.9048278007293937,0.08367338642796307,0.46110798799462377
DeepSVDD_head,2,0.8135792857619183,0.9139763983090575,0.0811696868059468,0.5040298182457997
DROCC_head,2,0.611752130600124,0.7868743265477335,0.034114277568175616,0.162691433424605
Bubble_A,2,0.8442642887454711,0.9399853570458643,0.09815485482561442,0.5802331341435084
Bubble_B,2,0.8464659337786461,0.9409941555820024,0.11342408851590076,0.5840107108523426
Bubble_A+D,2,0.7899113819800742,0.9119902555129689,0.06993738177662662,0.44484955232373724
Bubble_B+D,2,0.7835498951625859,0.9078858191830064,0.0654793039195735,0.44835262765219785
