category,seed,final_score,component_score,auroc_delta
bottle,0,Bubble_A+D,Bubble_A,-0.07460317460317467
bottle,1,Bubble_A+D,Bubble_A,-0.0936507936507937
bottle,2,Bubble_A+D,Bubble_A,-0.061904761904761796
cable,0,Bubble_A+D,Bubble_A,-0.1349325337331334
cable,1,Bubble_A+D,Bubble_A,-0.09557721139430286
cable,2,Bubble_A+D,Bubble_A,-0.14430284857571218
capsule,0,Bubble_A+D,Bubble_A,-0.11049062624650963
capsule,1,Bubble_A+D,Bubble_A,-0.13043478260869568
capsule,2,Bubble_A+D,Bubble_A,-0.06023135221380127
carpet,0,Bubble_A+D,Bubble_A,-0.01865971107544151
carpet,1,Bubble_A+D,Bubble_A,0.025080256821829794
carpet,2,Bubble_A+D,Bubble_A,-0.0662118780096308
grid,0,Bubble_A+D,Bubble_A,-0.13533834586466154
grid,1,Bubble_A+D,Bubble_A,-0.13617376775271517
grid,2,Bubble_A+D,Bubble_A,-0.14619883040935677
hazelnut,0,Bubble_A+D,Bubble_A,-0.09464285714285714
hazelnut,1,Bubble_A+D,Bubble_A,-0.07821428571428579
hazelnut,2,Bubble_A+D,Bubble_A,-0.11857142857142844
leather,0,Bubble_A+D,Bubble_A,-0.030570652173913082
leather,1,Bubble_A+D,Bubble_A,-0.0703125
leather,2,Bubble_A+D,Bubble_A,-0.05332880434782605
metal_nut,0,Bubble_A+D,Bubble_A,-0.06060606060606066
metal_nut,1,Bubble_A+D,Bubble_A,-0.05962854349951119
metal_nut,2,Bubble_A+D,Bubble_A,-0.012707722385141729
pill,0,Bubble_A+D,Bubble_A,0.04037097654118926
pill,1,Bubble_A+D,Bubble_A,-0.010911074740861837
pill,2,Bubble_A+D,Bubble_A,0.041734860883796965
screw,0,Bubble_A+D,Bubble_A,-0.05369952859192462
screw,1,Bubble_A+D,Bubble_A,-0.032383685181389454
screw,2,Bubble_A+D,Bubble_A,-0.03402336544373852
tile,0,Bubble_A+D,Bubble_A,0.0032467532467531646
tile,1,Bubble_A+D,Bubble_A,0.00793650793650802
tile,2,Bubble_A+D,Bubble_A,0.0028860028860028253
toothbrush,0,Bubble_A+D,Bubble_A,-0.016666666666666607
toothbrush,1,Bubble_A+D,Bubble_A,-0.050000000000000044
toothbrush,2,Bubble_A+D,Bubble_A,-0.050000000000000044
transistor,0,Bubble_A+D,Bubble_A,-0.05583333333333318
transistor,1,Bubble_A+D,Bubble_A,-0.032916666666666594
transistor,2,Bubble_A+D,Bubble_A,-0.03500000000000025
wood,0,Bubble_A+D,Bubble_A,-0.36754385964912284
wood,1,Bubble_A+D,Bubble_A,-0.11578947368421055
wood,2,Bubble_A+D,Bubble_A,-0.06666666666666665
zipper,0,Bubble_A+D,Bubble_A,-0.011817226890756372
zipper,1,Bubble_A+D,Bubble_A,-0.02823004201680679
zipper,2,Bubble_A+D,Bubble_A,-0.01076680672268926
bottle,0,Bubble_B+D,Bubble_B,-0.07301587301587309
bottle,1,Bubble_B+D,Bubble_B,-0.09047619047619049
bottle,2,Bubble_B+D,Bubble_B,-0.0769841269841271
cable,0,Bubble_B+D,Bubble_B,-0.15629685157421302
cable,1,Bubble_B+D,Bubble_B,-0.10307346326836586
cable,2,Bubble_B+D,Bubble_B,-0.1538605697151424
capsule,0,Bubble_B+D,Bubble_B,-0.11527722377343452
capsule,1,Bubble_B+D,Bubble_B,-0.13242919824491417
capsule,2,Bubble_B+D,Bubble_B,-0.06820901475867558
carpet,0,Bubble_B+D,Bubble_B,-0.026484751203852186
carpet,1,Bubble_B+D,Bubble_B,0.0134430176565008
carpet,2,Bubble_B+D,Bubble_B,-0.07965489566613171
grid,0,Bubble_B+D,Bubble_B,-0.1370091896407687
grid,1,Bubble_B+D,Bubble_B,-0.1378446115288221
grid,2,Bubble_B+D,Bubble_B,-0.15037593984962405
hazelnut,0,Bubble_B+D,Bubble_B,-0.08392857142857157
hazelnut,1,Bubble_B+D,Bubble_B,-0.09642857142857153
hazelnut,2,Bubble_B+D,Bubble_B,-0.10571428571428565
leather,0,Bubble_B+D,Bubble_B,-0.025475543478260865
leather,1,Bubble_B+D,Bubble_B,-0.13383152173913038
leather,2,Bubble_B+D,Bubble_B,-0.07404891304347838
