category,seed,method,auroc,average_precision,threshold,test_fpr,test_tpr,false_positives,true_positives,test_normal,test_anomaly,threshold_calibration_count,threshold_calibration_fpr
bottle,0,PatchScore_same_centers,1.0,0.9999999999999998,4.047061085700989,0.0,1.0,0,63,20,63,43,0.0232558139534883
bottle,0,PatchScore_byte_budget,1.0,0.9999999999999998,2.527834415435791,0.1,1.0,2,63,20,63,43,0.0232558139534883
bottle,0,RBF_SVDD,0.7444444444444446,0.9206343672649956,0.1168388099885811,0.0,0.3174603174603174,0,20,20,63,43,0.0232558139534883
bottle,0,DeepSVDD_head,0.9849206349206348,0.9956533845932738,0.0103756907046772,0.15,0.9682539682539684,3,61,20,63,43,0.0232558139534883
bottle,0,DROCC_head,0.5,0.7590361445783133,0.0003035458503291,0.0,0.0,0,0,20,63,43,0.0
bottle,0,Bubble_A,0.5817460317460318,0.8306265178566108,6.04135181319055,0.0,0.0952380952380952,0,6,20,63,43,0.0232558139534883
bottle,0,Bubble_B,0.5801587301587302,0.8291556323277542,6.042007982676318,0.0,0.0952380952380952,0,6,20,63,43,0.0232558139534883
bottle,0,Bubble_A+D,0.5071428571428571,0.7603663213223055,10.017657447901726,0.15,0.0634920634920634,3,4,20,63,43,0.0232558139534883
bottle,0,Bubble_B+D,0.5071428571428571,0.7603663213223055,10.02506436596509,0.15,0.0634920634920634,3,4,20,63,43,0.0232558139534883
bottle,1,PatchScore_same_centers,1.0,0.9999999999999998,4.141680955886841,0.0,1.0,0,63,20,63,43,0.0232558139534883
bottle,1,PatchScore_byte_budget,1.0,0.9999999999999998,2.850882053375244,0.0,1.0,0,63,20,63,43,0.0232558139534883
bottle,1,RBF_SVDD,0.7992063492063493,0.9392809430001212,0.1048827682976652,0.0,0.4285714285714285,0,27,20,63,43,0.0232558139534883
bottle,1,DeepSVDD_head,0.9801587301587302,0.9940582942099128,0.0086633674800395,0.1,0.9047619047619048,2,57,20,63,43,0.0232558139534883
bottle,1,DROCC_head,0.5,0.7590361445783133,5.261903424980119e-05,0.0,0.0,0,0,20,63,43,0.0
bottle,1,Bubble_A,0.5634920634920635,0.8300999029631191,6.139131612954572,0.0,0.0634920634920634,0,4,20,63,43,0.0232558139534883
bottle,1,Bubble_B,0.5619047619047619,0.8290736338696232,6.13665628454255,0.0,0.0634920634920634,0,4,20,63,43,0.0232558139534883
bottle,1,Bubble_A+D,0.4698412698412698,0.7353192164257448,9.712934000775764,0.1,0.0317460317460317,2,2,20,63,43,0.0232558139534883
bottle,1,Bubble_B+D,0.4714285714285714,0.7358806816810877,9.723887419179322,0.1,0.0317460317460317,2,2,20,63,43,0.0232558139534883
bottle,2,PatchScore_same_centers,1.0,0.9999999999999998,3.8241546154022217,0.0,1.0,0,63,20,63,43,0.0232558139534883
bottle,2,PatchScore_byte_budget,1.0,0.9999999999999998,2.364377498626709,0.15,1.0,3,63,20,63,43,0.0232558139534883
bottle,2,RBF_SVDD,0.7674603174603175,0.9294857191221912,0.1063008009411988,0.0,0.3174603174603174,0,20,20,63,43,0.0232558139534883
bottle,2,DeepSVDD_head,0.9698412698412698,0.9904680134491524,0.0084426291286945,0.15,0.9206349206349206,3,58,20,63,43,0.0232558139534883
bottle,2,DROCC_head,0.7476190476190476,0.9091148071392918,-0.0007092810192261,0.0,0.1428571428571428,0,9,20,63,43,0.0232558139534883
bottle,2,Bubble_A,0.4849206349206348,0.7830426718366175,5.777580208758668,0.1,0.1746031746031746,2,11,20,63,43,0.0232558139534883
bottle,2,Bubble_B,0.5023809523809524,0.7946338270041542,5.825575071619567,0.05,0.0952380952380952,1,6,20,63,43,0.0232558139534883
bottle,2,Bubble_A+D,0.423015873015873,0.7555760444415884,9.539948583525083,0.05,0.0952380952380952,1,6,20,63,43,0.0232558139534883
bottle,2,Bubble_B+D,0.4253968253968253,0.7580698558885262,9.51235864652302,0.05,0.0793650793650793,1,5,20,63,43,0.0232558139534883
cable,0,PatchScore_same_centers,0.982383808095952,0.9898962092536504,6.613242864608765,0.0517241379310344,0.8695652173913043,3,80,58,92,46,0.0217391304347826
cable,0,PatchScore_byte_budget,0.9994377811094451,0.9996567505720826,5.781262397766113,0.1206896551724138,1.0,7,92,58,92,46,0.0217391304347826
cable,0,RBF_SVDD,0.7736131934032984,0.865885549124098,0.0538699918306358,0.0344827586206896,0.3152173913043478,2,29,58,92,46,0.0217391304347826
cable,0,DeepSVDD_head,0.7046476761619191,0.8196686992918649,0.0332637398969382,0.0172413793103448,0.2608695652173913,1,24,58,92,46,0.0217391304347826
cable,0,DROCC_head,0.4516491754122939,0.5982300386218532,-3.343331627547741e-05,0.0344827586206896,0.0760869565217391,2,7,58,92,46,0.0217391304347826
cable,0,Bubble_A,0.8705022488755622,0.928597751408033,8.486545944175898,0.0,0.4782608695652174,0,44,58,92,46,0.0217391304347826
cable,0,Bubble_B,0.8946776611694154,0.94305459860933,8.51305765856685,0.0,0.4891304347826087,0,45,58,92,46,0.0217391304347826
cable,0,Bubble_A+D,0.7355697151424287,0.8493839885713159,13.095348633071126,0.0,0.0760869565217391,0,7,58,92,46,0.0217391304347826
cable,0,Bubble_B+D,0.7383808095952024,0.8424438048651436,13.419311606592936,0.0,0.0108695652173913,0,1,58,92,46,0.0217391304347826
cable,1,PatchScore_same_centers,0.961206896551724,0.9780531015339656,6.64769172668457,0.0517241379310344,0.8478260869565217,3,78,58,92,46,0.0217391304347826
cable,1,PatchScore_byte_budget,0.9983133433283358,0.9990122873345938,6.104191780090332,0.0172413793103448,0.9891304347826086,1,91,58,92,46,0.0217391304347826
cable,1,RBF_SVDD,0.7932908545727138,0.8811828417614339,0.0729148116180834,0.0,0.1630434782608695,0,15,58,92,46,0.0217391304347826
cable,1,DeepSVDD_head,0.7025862068965517,0.8250015646080678,0.0218255234649404,0.0689655172413793,0.4021739130434782,4,37,58,92,46,0.0217391304347826
cable,1,DROCC_head,0.4679535232383808,0.6072302946919073,8.236160510932677e-06,0.0862068965517241,0.0434782608695652,5,4,58,92,46,0.0217391304347826
cable,1,Bubble_A,0.8740629685157422,0.9215753677846812,8.715618627144437,0.0172413793103448,0.4891304347826087,1,45,58,92,46,0.0217391304347826
cable,1,Bubble_B,0.8804347826086957,0.9270518256874146,8.093698494818362,0.0,0.5,0,46,58,92,46,0.0217391304347826
cable,1,Bubble_A+D,0.7784857571214393,0.8557593076157133,11.844574692881244,0.0689655172413793,0.3695652173913043,4,34,58,92,46,0.0217391304347826
cable,1,Bubble_B+D,0.7773613193403298,0.8619935429200063,11.427530422586862,0.0689655172413793,0.4456521739130434,4,41,58,92,46,0.0217391304347826
cable,2,PatchScore_same_centers,0.9724512743628186,0.9836362950018132,6.72806453704834,0.0517241379310344,0.8478260869565217,3,78,58,92,46,0.0217391304347826
cable,2,PatchScore_byte_budget,0.9988755622188904,0.999334516415262,6.024070739746094,0.0172413793103448,0.9891304347826086,1,91,58,92,46,0.0217391304347826
cable,2,RBF_SVDD,0.7784857571214392,0.8700347852518249,0.071682555247481,0.0,0.1630434782608695,0,15,58,92,46,0.0217391304347826
cable,2,DeepSVDD_head,0.6954647676161919,0.8127227677898368,0.0354222883470356,0.0344827586206896,0.2717391304347826,2,25,58,92,46,0.0217391304347826
cable,2,DROCC_head,0.4946589205397301,0.6107817303469477,-0.0003028078499482,0.0689655172413793,0.0652173913043478,4,6,58,92,46,0.0217391304347826
cable,2,Bubble_A,0.8568215892053973,0.918283009464392,7.789244044720709,0.0,0.4347826086956521,0,40,58,92,46,0.0217391304347826
cable,2,Bubble_B,0.8690029985007496,0.9245857004442046,7.847937040319794,0.0,0.4456521739130434,0,41,58,92,46,0.0217391304347826
cable,2,Bubble_A+D,0.7125187406296851,0.8278567611236141,12.561172012508411,0.0,0.0652173913043478,0,6,58,92,46,0.0217391304347826
cable,2,Bubble_B+D,0.7151424287856072,0.8177763061844118,12.629432783790657,0.0172413793103448,0.0652173913043478,1,6,58,92,46,0.0217391304347826
capsule,0,PatchScore_same_centers,0.9198244914240128,0.9800218833461176,2.8749396800994877,0.3043478260869565,0.9174311926605504,7,100,23,109,45,0.0222222222222222
capsule,0,PatchScore_byte_budget,0.96888711607499,0.9925299699992094,1.8174479007720947,0.1739130434782608,0.981651376146789,4,107,23,109,45,0.0222222222222222
capsule,0,RBF_SVDD,0.6027124052652573,0.8886966851017452,0.0528053247367617,0.1304347826086956,0.2385321100917431,3,26,23,109,45,0.0222222222222222
capsule,0,DeepSVDD_head,0.7327483047467093,0.9386987532199472,0.0084917969070374,0.0,0.3119266055045872,0,34,23,109,45,0.0222222222222222
capsule,0,DROCC_head,0.5,0.8257575757575758,0.0001542421232443,0.0,0.0,0,0,23,109,45,0.0
capsule,0,Bubble_A,0.7610690067810131,0.9447734044893884,6.026525632479791,0.0,0.3211009174311927,0,35,23,109,45,0.0222222222222222
capsule,0,Bubble_B,0.7618667730355008,0.9447145315116304,5.995143912511411,0.0,0.3486238532110092,0,38,23,109,45,0.0222222222222222
capsule,0,Bubble_A+D,0.6505783805345035,0.9137947114873266,11.804879947895657,0.0,0.1192660550458715,0,13,23,109,45,0.0222222222222222
capsule,0,Bubble_B+D,0.6465895492620662,0.9118548662544314,11.85283347627492,0.0,0.1192660550458715,0,13,23,109,45,0.0222222222222222
capsule,1,PatchScore_same_centers,0.9234144395692064,0.9833818996412418,3.181637704372406,0.0869565217391304,0.8165137614678899,2,89,23,109,45,0.0222222222222222
capsule,1,PatchScore_byte_budget,0.9828480255285202,0.9963759293235704,2.0118112564086914,0.0869565217391304,0.963302752293578,2,105,23,109,45,0.0222222222222222
capsule,1,RBF_SVDD,0.6078978859194256,0.8928180460095073,0.0521118535128528,0.1304347826086956,0.2568807339449541,3,28,23,109,45,0.0222222222222222
capsule,1,DeepSVDD_head,0.7850019944156362,0.9477977093491744,0.0078025960829108,0.0,0.1651376146788991,0,18,23,109,45,0.0222222222222222
capsule,1,DROCC_head,0.5408855205424811,0.8667946835107168,3.116137531833374e-05,0.0,0.0825688073394495,0,9,23,109,45,0.0222222222222222
capsule,1,Bubble_A,0.7921818907060232,0.9504704712205004,5.938614225366653,0.1304347826086956,0.4954128440366973,3,54,23,109,45,0.0222222222222222
capsule,1,Bubble_B,0.7905863581970481,0.950010577168819,5.935961148954835,0.1304347826086956,0.5229357798165137,3,57,23,109,45,0.0222222222222222
capsule,1,Bubble_A+D,0.6617471080973275,0.9121426753159324,10.661237211981694,0.0434782608695652,0.3119266055045872,1,34,23,109,45,0.0222222222222222
capsule,1,Bubble_B+D,0.658157159952134,0.91112835161087,10.71930984396566,0.0434782608695652,0.3119266055045872,1,34,23,109,45,0.0222222222222222
capsule,2,PatchScore_same_centers,0.9393697646589548,0.9850380078707672,3.198506593704224,0.0869565217391304,0.7614678899082569,2,83,23,109,45,0.0222222222222222
capsule,2,PatchScore_byte_budget,0.960510570402872,0.9897200462821236,2.0584158897399902,0.0869565217391304,0.9357798165137616,2,102,23,109,45,0.0222222222222222
capsule,2,RBF_SVDD,0.6027124052652573,0.8889119017345495,0.0518177024435727,0.1304347826086956,0.2201834862385321,3,24,23,109,45,0.0222222222222222
capsule,2,DeepSVDD_head,0.7056242520941365,0.931120605604187,0.0237812279956415,0.0,0.3486238532110092,0,38,23,109,45,0.0222222222222222
capsule,2,DROCC_head,0.4978061428001596,0.8604033160627824,0.0004390281101223,0.0869565217391304,0.1834862385321101,2,20,23,109,45,0.0222222222222222
capsule,2,Bubble_A,0.769844435580375,0.9458297515022728,6.018390213700238,0.0434782608695652,0.4678899082568807,1,51,23,109,45,0.0222222222222222
capsule,2,Bubble_B,0.7778220981252493,0.9476270822887628,5.99670712715135,0.0434782608695652,0.4862385321100917,1,53,23,109,45,0.0222222222222222
capsule,2,Bubble_A+D,0.7096130833665737,0.929726969719163,10.689140292383676,0.0434782608695652,0.3853211009174312,1,42,23,109,45,0.0222222222222222
capsule,2,Bubble_B+D,0.7096130833665737,0.9288960224500004,10.744578700154428,0.0434782608695652,0.3853211009174312,1,42,23,109,45,0.0222222222222222
carpet,0,PatchScore_same_centers,0.9875601926163724,0.996324886954956,2.3019068241119385,0.3214285714285714,0.9887640449438202,9,88,28,89,56,0.0178571428571428
carpet,0,PatchScore_byte_budget,0.984349919743178,0.995359091503047,2.5488739013671875,0.3928571428571428,0.9887640449438202,11,88,28,89,56,0.0178571428571428
carpet,0,RBF_SVDD,0.9863563402889246,0.9959762721174932,0.1064675574663928,0.3214285714285714,0.9887640449438202,9,88,28,89,56,0.0178571428571428
carpet,0,DeepSVDD_head,0.9478330658105938,0.9845511364581055,0.0388399270595982,0.0714285714285714,0.8539325842696629,2,76,28,89,56,0.0178571428571428
carpet,0,DROCC_head,0.5300963081861958,0.8118542043199791,0.000478671019664,0.0357142857142857,0.2022471910112359,1,18,28,89,56,0.0178571428571428
carpet,0,Bubble_A,0.8665730337078652,0.923262312887387,7.067868795121554,0.3571428571428571,0.9887640449438202,10,88,28,89,56,0.0178571428571428
carpet,0,Bubble_B,0.881621187800963,0.9320579060497602,7.125094050252805,0.3571428571428571,0.9887640449438202,10,88,28,89,56,0.0178571428571428
carpet,0,Bubble_A+D,0.8479133226324237,0.9316998973966544,10.927672623850022,0.3214285714285714,0.9775280898876404,9,87,28,89,56,0.0178571428571428
carpet,0,Bubble_B+D,0.8551364365971108,0.934664054497068,9.893190352559444,0.3928571428571428,0.9775280898876404,11,87,28,89,56,0.0178571428571428
carpet,1,PatchScore_same_centers,0.9895666131621188,0.9969274348954598,2.2059221267700195,0.3214285714285714,0.9887640449438202,9,88,28,89,56,0.0178571428571428
carpet,1,PatchScore_byte_budget,0.9875601926163724,0.9963594100326202,2.6009175777435303,0.3571428571428571,0.9887640449438202,10,88,28,89,56,0.0178571428571428
carpet,1,RBF_SVDD,0.9871589085072232,0.9961821796792596,0.1154958280201264,0.3214285714285714,0.9887640449438202,9,88,28,89,56,0.0178571428571428
carpet,1,DeepSVDD_head,0.8800160513643659,0.964282083273252,0.0102488650591112,0.2142857142857142,0.8089887640449438,6,72,28,89,56,0.0178571428571428
carpet,1,DROCC_head,0.9097110754414124,0.9742053499792976,0.000262327841483,0.0357142857142857,0.7752808988764045,1,69,28,89,56,0.0178571428571428
carpet,1,Bubble_A,0.9026886035313002,0.9434348470965296,6.950533542303517,0.3214285714285714,0.9887640449438202,9,88,28,89,56,0.0178571428571428
carpet,1,Bubble_B,0.9215489566613162,0.9542655769160234,6.692696335997194,0.3571428571428571,1.0,10,89,28,89,56,0.0178571428571428
carpet,1,Bubble_A+D,0.92776886035313,0.9594730764545224,10.242639616895154,0.3214285714285714,0.9775280898876404,9,87,28,89,56,0.0178571428571428
carpet,1,Bubble_B+D,0.934991974317817,0.9619060657975808,9.374984723718546,0.3214285714285714,0.9887640449438202,9,88,28,89,56,0.0178571428571428
carpet,2,PatchScore_same_centers,0.9887640449438202,0.9966290258756788,2.22875452041626,0.3214285714285714,0.9887640449438202,9,88,28,89,56,0.0178571428571428
carpet,2,PatchScore_byte_budget,0.9879614767255218,0.996448036007054,2.5528905391693115,0.3928571428571428,0.9887640449438202,11,88,28,89,56,0.0178571428571428
carpet,2,RBF_SVDD,0.9851524879614768,0.9956334401944557,0.1084919653447994,0.3928571428571428,0.9887640449438202,11,88,28,89,56,0.0178571428571428
carpet,2,DeepSVDD_head,0.8924558587479935,0.970421650333336,0.0156128195812925,0.1428571428571428,0.8202247191011236,4,73,28,89,56,0.0178571428571428
carpet,2,DROCC_head,0.8848314606741573,0.9652146932442992,0.0007476392202079,0.0,0.4157303370786517,0,37,28,89,56,0.0178571428571428
carpet,2,Bubble_A,0.8523274478330658,0.9154033787120412,7.502357097563178,0.3214285714285714,0.9887640449438202,9,88,28,89,56,0.0178571428571428
carpet,2,Bubble_B,0.8525280898876405,0.9154033787120412,8.437429551449782,0.3214285714285714,0.9887640449438202,9,88,28,89,56,0.0178571428571428
carpet,2,Bubble_A+D,0.786115569823435,0.8896596129068013,11.419125900535846,0.3571428571428571,0.9662921348314608,10,86,28,89,56,0.0178571428571428
carpet,2,Bubble_B+D,0.7728731942215088,0.8818492374286985,10.539092536583643,0.3571428571428571,0.9887640449438202,10,88,28,89,56,0.0178571428571428
grid,0,PatchScore_same_centers,0.9323308270676692,0.9763967649201496,4.709006309509277,0.0476190476190476,0.6842105263157895,1,39,21,57,54,0.0185185185185185
grid,0,PatchScore_byte_budget,0.9557226399331664,0.9853682780074592,4.258685111999512,0.0,0.7543859649122807,0,43,21,57,54,0.0185185185185185
grid,0,RBF_SVDD,0.5989974937343359,0.8142613692257548,0.0850848465041899,0.0476190476190476,0.1228070175438596,1,7,21,57,54,0.0185185185185185
grid,0,DeepSVDD_head,0.6700083542188805,0.8622188723300885,0.0437630580272525,0.0476190476190476,0.2631578947368421,1,15,21,57,54,0.0185185185185185
grid,0,DROCC_head,0.252297410192147,0.5922954812284345,-0.00043098279275,0.2857142857142857,0.0350877192982456,6,2,21,57,54,0.0185185185185185
grid,0,Bubble_A,0.8822055137844611,0.9520325786777016,7.357134374153108,0.0,0.1403508771929824,0,8,21,57,54,0.0185185185185185
grid,0,Bubble_B,0.8796992481203009,0.9508185777918718,7.3598898326490065,0.0,0.1403508771929824,0,8,21,57,54,0.0185185185185185
