category,seed,seconds
bottle,0,131.18102169036865
bottle,1,134.65086770057678
bottle,2,131.56538891792297
cable,0,139.7859046459198
cable,1,143.228609085083
cable,2,139.5913848876953
capsule,0,137.24069356918335
capsule,1,138.98911690711975
capsule,2,136.69918632507324
carpet,0,173.3621735572815
carpet,1,173.64364957809448
carpet,2,174.87681889533997
grid,0,174.51167249679565
grid,1,177.77600502967834
grid,2,177.94974875450134
hazelnut,0,257.2285280227661
hazelnut,1,256.5109899044037
hazelnut,2,256.5002679824829
leather,0,168.57844257354736
leather,1,168.1534388065338
leather,2,168.86519742012024
metal_nut,0,149.68961215019226
metal_nut,1,149.37147402763367
metal_nut,2,148.34240818023682
pill,0,166.89135265350342
pill,1,166.06236362457275
pill,2,165.63902258872986
screw,0,194.89715838432312
screw,1,195.70208597183228
screw,2,195.54814457893372
tile,0,142.92192888259888
tile,1,144.24894165992737
tile,2,144.69183254241943
toothbrush,0,46.48689603805542
toothbrush,1,46.66221284866333
toothbrush,2,46.48087191581726
transistor,0,142.59993076324463
transistor,1,142.38986825942993
transistor,2,141.77180123329163
wood,0,163.4242491722107
wood,1,163.11416125297546
wood,2,163.37025451660156
zipper,0,161.41064429283142
zipper,1,161.65525794029236
zipper,2,161.96726202964783
