category,seed,method,auroc,average_precision,threshold,test_fpr,test_tpr,false_positives,true_positives,test_normal,test_anomaly,threshold_calibration_count,threshold_calibration_fpr
bottle,2,PatchScore_same_centers,1.0,0.9999999999999998,3.222527027130127,0.05,1.0,1,63,20,63,43,0.023255813953488372
bottle,2,PatchScore_byte_budget,1.0,0.9999999999999998,1.7820343971252441,0.25,1.0,5,63,20,63,43,0.023255813953488372
bottle,2,RBF_SVDD,0.7150793650793651,0.906586645118004,0.06585418206289367,0.0,0.23809523809523808,0,15,20,63,43,0.023255813953488372
bottle,2,DeepSVDD_head,0.9904761904761905,0.997013347854522,0.011502639506943524,0.2,0.9841269841269841,4,62,20,63,43,0.023255813953488372
bottle,2,DROCC_head,0.5,0.7590361445783133,0.07864222675561905,0.0,0.0,0,0,20,63,43,0.0
bottle,2,Bubble_B,0.6555555555555556,0.8815633445196756,6.122002502032901,0.0,0.047619047619047616,0,3,20,63,43,0.023255813953488372
bottle,2,Bubble_BA,0.6555555555555556,0.8815930023794931,12.245126087813649,0.0,0.047619047619047616,0,3,20,63,43,0.023255813953488372
bottle,2,Bubble_BAD,0.5714285714285714,0.8416637604811266,14.011441466382099,0.0,0.06349206349206349,0,4,20,63,43,0.023255813953488372
bottle,2,Bubble_BAF,0.7753968253968254,0.9238933839766177,12.418423756118491,0.0,0.12698412698412698,0,8,20,63,43,0.023255813953488372
bottle,2,NBD,0.6738095238095239,0.8612538259298845,15.386055504204274,0.05,0.14285714285714285,1,9,20,63,43,0.023255813953488372
