category,seed,method,auroc,average_precision,threshold,test_fpr,test_tpr,false_positives,true_positives,test_normal,test_anomaly,threshold_calibration_count,threshold_calibration_fpr
cable,0,PatchScore_same_centers,0.9415292353823088,0.9663655281058154,4.979722738265991,0.10344827586206896,0.8043478260869565,6,74,58,92,46,0.021739130434782608
cable,0,PatchScore_byte_budget,0.9970014992503747,0.9981568576117292,4.30143928527832,0.08620689655172414,0.9891304347826086,5,91,58,92,46,0.021739130434782608
cable,0,RBF_SVDD,0.6767241379310345,0.7951458009794494,0.05849303941699391,0.017241379310344827,0.14130434782608695,1,13,58,92,46,0.021739130434782608
cable,0,DeepSVDD_head,0.7269490254872564,0.8226583257780359,0.03792980778962374,0.05172413793103448,0.2717391304347826,3,25,58,92,46,0.021739130434782608
cable,0,DROCC_head,0.5,0.6133333333333333,-0.033313117921352386,0.0,0.0,0,0,58,92,46,0.0
cable,0,Bubble_B,0.8258995502248875,0.8894316823636853,6.861790466026618,0.10344827586206896,0.4673913043478261,6,43,58,92,46,0.021739130434782608
cable,0,Bubble_BA,0.8185907046476761,0.8849219047812937,13.476690782195831,0.1206896551724138,0.4673913043478261,7,43,58,92,46,0.021739130434782608
cable,0,Bubble_BAD,0.7908545727136432,0.8706808646221929,17.642833776936037,0.08620689655172414,0.43478260869565216,5,40,58,92,46,0.021739130434782608
cable,0,Bubble_BAF,0.8371439280359819,0.8972827934698655,16.70262412123818,0.10344827586206896,0.4891304347826087,6,45,58,92,46,0.021739130434782608
cable,0,NBD,0.7996626686656672,0.8770311697659797,21.852437399668148,0.017241379310344827,0.3804347826086957,1,35,58,92,46,0.021739130434782608
