category,seed,method,auroc,average_precision,threshold,test_fpr,test_tpr,false_positives,true_positives,test_normal,test_anomaly,threshold_calibration_count,threshold_calibration_fpr
grid,1,PatchScore_same_centers,0.9707602339181287,0.9892949737929149,2.507392644882202,0.09523809523809523,0.9298245614035088,2,53,21,57,54,0.018518518518518517
grid,1,PatchScore_byte_budget,0.9832915622389308,0.9953062480763315,2.3068881034851074,0.0,0.9649122807017544,0,55,21,57,54,0.018518518518518517
grid,1,RBF_SVDD,0.77109440267335,0.8893552883269351,0.06928274541452858,0.047619047619047616,0.19298245614035087,1,11,21,57,54,0.018518518518518517
grid,1,DeepSVDD_head,0.9615705931495405,0.9868373343668779,0.0273264751303941,0.047619047619047616,0.8421052631578947,1,48,21,57,54,0.018518518518518517
grid,1,DROCC_head,0.2631578947368421,0.5970661975464544,-0.12835351936519146,0.2857142857142857,0.03508771929824561,6,2,21,57,54,0.018518518518518517
grid,1,Bubble_B,0.9766081871345028,0.9930479832910089,10.615677267673389,0.0,0.0,0,0,21,57,54,0.0
grid,1,Bubble_BA,0.9766081871345028,0.9930479832910089,21.231354535346778,0.0,0.0,0,0,21,57,54,0.0
grid,1,Bubble_BAD,0.9690893901420217,0.9904565414977919,23.174119211784596,0.0,0.03508771929824561,0,2,21,57,54,0.018518518518518517
grid,1,Bubble_BAF,0.9615705931495405,0.9880225403717229,23.64441345118097,0.0,0.08771929824561403,0,5,21,57,54,0.018518518518518517
grid,1,NBD,0.9523809523809523,0.9854041550416925,25.555483430728295,0.0,0.03508771929824561,0,2,21,57,54,0.018518518518518517
