category,seed,method,auroc,average_precision,threshold,test_fpr,test_tpr,false_positives,true_positives,test_normal,test_anomaly,threshold_calibration_count,threshold_calibration_fpr
leather,0,PatchScore_same_centers,1.0,1.0000000000000002,1.2441058158874512,0.375,1.0,12,92,32,92,49,0.02040816326530612
leather,0,PatchScore_byte_budget,1.0,1.0000000000000002,1.281981647014618,1.0,1.0,32,92,32,92,49,0.02040816326530612
leather,0,RBF_SVDD,1.0,1.0000000000000002,0.10106488705054256,0.1875,1.0,6,92,32,92,49,0.02040816326530612
leather,0,DeepSVDD_head,1.0,1.0000000000000002,0.009895368537399918,0.125,1.0,4,92,32,92,49,0.02040816326530612
leather,0,DROCC_head,0.755774456521739,0.9088016566476929,-0.1033635288476944,0.0,0.0,0,0,32,92,49,0.02040816326530612
leather,0,Bubble_B,1.0,1.0,7.9033704688945,0.40625,1.0,13,92,32,92,49,0.02040816326530612
leather,0,Bubble_BA,1.0,1.0,15.590052107297687,0.28125,1.0,9,92,32,92,49,0.02040816326530612
leather,0,Bubble_BAD,0.990828804347826,0.9965299673523422,17.032123708682565,0.59375,1.0,19,92,32,92,49,0.02040816326530612
leather,0,Bubble_BAF,1.0,1.0000000000000002,16.409674853469603,0.28125,1.0,9,92,32,92,49,0.02040816326530612
leather,0,NBD,0.9962635869565217,0.9986892068609247,17.667987138392718,0.53125,1.0,17,92,32,92,49,0.02040816326530612
