category,seed,method,auroc,average_precision,threshold,test_fpr,test_tpr,false_positives,true_positives,test_normal,test_anomaly,threshold_calibration_count,threshold_calibration_fpr
screw,2,PatchScore_same_centers,0.6839516294322607,0.8656545455101994,3.5388588905334473,0.04878048780487805,0.226890756302521,2,27,41,119,64,0.03125
screw,2,PatchScore_byte_budget,0.9651567944250871,0.98861416743168,2.1707966327667236,0.024390243902439025,0.8319327731092437,1,99,41,119,64,0.03125
screw,2,RBF_SVDD,0.5197786431645829,0.7265320123416492,0.053216267897433084,0.04878048780487805,0.0,2,0,41,119,64,0.03125
screw,2,DeepSVDD_head,0.5593359294937488,0.7940713323761999,0.007836945180315524,0.07317073170731707,0.16806722689075632,3,20,41,119,64,0.03125
screw,2,DROCC_head,0.31522853043656485,0.6625243672624577,0.02960103563964367,0.07317073170731707,0.03361344537815126,3,4,41,119,64,0.03125
screw,2,Bubble_B,0.6700143472022956,0.8537574030120715,8.13159161841504,0.0,0.05042016806722689,0,6,41,119,64,0.03125
screw,2,Bubble_BA,0.6847714695634353,0.8568606806945752,16.15413552635758,0.0,0.058823529411764705,0,7,41,119,64,0.03125
screw,2,Bubble_BAD,0.6486985037917606,0.8363975498295357,18.44065602518764,0.0,0.058823529411764705,0,7,41,119,64,0.03125
screw,2,Bubble_BAF,0.6068866571018652,0.8226502701146547,17.738147218221386,0.0,0.06722689075630252,0,8,41,119,64,0.03125
screw,2,NBD,0.5880303340848535,0.7960447392259367,20.38471681557234,0.04878048780487805,0.07563025210084033,2,9,41,119,64,0.03125
