category,seed,method,auroc,average_precision,threshold,test_fpr,test_tpr,false_positives,true_positives,test_normal,test_anomaly,threshold_calibration_count,threshold_calibration_fpr
toothbrush,0,PatchScore_same_centers,0.9833333333333334,0.9935439068100358,inf,0.0,0.0,0,0,12,30,12,0.0
toothbrush,0,PatchScore_byte_budget,0.9972222222222222,0.9989247311827957,inf,0.0,0.0,0,0,12,30,12,0.0
toothbrush,0,RBF_SVDD,0.7999999999999999,0.9268806880272067,inf,0.0,0.0,0,0,12,30,12,0.0
toothbrush,0,DeepSVDD_head,0.6444444444444444,0.8581211718172528,inf,0.0,0.0,0,0,12,30,12,0.0
toothbrush,0,DROCC_head,0.3277777777777778,0.6229885167363668,inf,0.0,0.0,0,0,12,30,12,0.0
toothbrush,0,Bubble_B,0.763888888888889,0.9095118348963664,inf,0.0,0.0,0,0,12,30,12,0.0
toothbrush,0,Bubble_BA,0.7638888888888888,0.9097027623899256,inf,0.0,0.0,0,0,12,30,12,0.0
toothbrush,0,Bubble_BAD,0.7944444444444445,0.925774917846675,inf,0.0,0.0,0,0,12,30,12,0.0
toothbrush,0,Bubble_BAF,0.7833333333333333,0.917064887352481,inf,0.0,0.0,0,0,12,30,12,0.0
toothbrush,0,NBD,0.8027777777777779,0.9270319622452936,inf,0.0,0.0,0,0,12,30,12,0.0
