category,seed,method,auroc,average_precision,threshold,test_fpr,test_tpr,false_positives,true_positives,test_normal,test_anomaly,threshold_calibration_count,threshold_calibration_fpr
transistor,1,PatchScore_same_centers,0.9895833333333333,0.9865370169249814,3.5680973529815674,0.016666666666666666,0.925,1,37,60,40,44,0.022727272727272728
transistor,1,PatchScore_byte_budget,0.9987499999999999,0.9981242182614134,3.3834121227264404,0.0,0.925,0,37,60,40,44,0.022727272727272728
transistor,1,RBF_SVDD,0.6775,0.677148409801895,0.041446511382072504,0.016666666666666666,0.225,1,9,60,40,44,0.022727272727272728
transistor,1,DeepSVDD_head,0.8583333333333334,0.8657135075674744,0.0460353191010654,0.0,0.075,0,3,60,40,44,0.022727272727272728
transistor,1,DROCC_head,0.5,0.4,-0.0816008597612381,0.0,0.0,0,0,60,40,44,0.0
transistor,1,Bubble_B,0.9458333333333334,0.9434933843402373,7.200359345954222,0.0,0.6,0,24,60,40,44,0.022727272727272728
transistor,1,Bubble_BA,0.9454166666666667,0.9450311174026126,14.03022633246548,0.0,0.65,0,26,60,40,44,0.022727272727272728
transistor,1,Bubble_BAD,0.9083333333333333,0.9060213669918309,18.062010051185332,0.0,0.45,0,18,60,40,44,0.022727272727272728
transistor,1,Bubble_BAF,0.9495833333333333,0.9389065943674757,18.03680601027926,0.0,0.525,0,21,60,40,44,0.022727272727272728
transistor,1,NBD,0.9208333333333333,0.9044238409868787,21.583284546717984,0.0,0.425,0,17,60,40,44,0.022727272727272728
