method,seed,auroc,average_precision,test_fpr,test_tpr
PatchScore_same_centers,0,0.9559583798734973,0.9861293861613263,0.10788742462330009,0.7890163005803051
PatchScore_byte_budget,0,0.9835201734089485,0.9951849997965087,0.15064939623216242,0.8671291419866253
RBF_SVDD,0,0.7792998341994858,0.9028163394126822,0.06035665998947353,0.4413892356036759
DeepSVDD_head,0,0.8174443100904427,0.9143683121839135,0.06308798293993195,0.48035613695758794
DROCC_head,0,0.4966462989373282,0.7241958534248961,0.04467532467532466,0.016716447798647668
Bubble_B,0,0.8104485622939557,0.9240018080862239,0.10663116123642438,0.506217279764084
Bubble_BA,0,0.8128027458939807,0.9255054806111427,0.09628028404344194,0.506271108141642
Bubble_BAD,0,0.7780713339002792,0.9037115195804518,0.08771825396825396,0.38203329423463095
Bubble_BAF,0,0.8156209179602334,0.9256725686116821,0.1198454469507101,0.4937308407194768
NBD,0,0.7668949077073215,0.8967732743464409,0.11805101521920743,0.383241025338577
PatchScore_same_centers,1,0.960225327865531,0.9870816376869048,0.12301410127743669,0.7947128259004614
PatchScore_byte_budget,1,0.9876194531238334,0.9963908894462017,0.12104175168711978,0.8673210144726177
RBF_SVDD,1,0.7843476446325437,0.9061160956775605,0.061814663208520984,0.45541131198199164
DeepSVDD_head,1,0.8138849384361665,0.9135350871578354,0.06714397690333902,0.5036393492573399
DROCC_head,1,0.5333743005934901,0.7577034692411723,0.00419011882426516,0.07360973660457314
Bubble_B,1,0.824068782554121,0.930866015575634,0.13342611515694341,0.5308566488968808
Bubble_BA,1,0.8259759839314295,0.9316885730289086,0.13790887377763308,0.5276048593758704
Bubble_BAD,1,0.7887266434979838,0.9130594474548565,0.14257294055376882,0.5078722378883677
Bubble_BAF,1,0.8192563972820184,0.9293480002313507,0.1229246534894032,0.5333310774830221
NBD,1,0.7832595269828228,0.909348867442922,0.1260832366877531,0.49709953620866637
PatchScore_same_centers,2,0.9595575714459837,0.9869746756028802,0.10980148733311543,0.7946686064801249
PatchScore_byte_budget,2,0.9857740246690364,0.995995028847394,0.1251525969821756,0.8767997981130828
RBF_SVDD,2,0.7824972360702259,0.9048278007293937,0.08367338642796307,0.46110798799462377
DeepSVDD_head,2,0.8240589518772359,0.9195209665689317,0.07603924930587096,0.5026975791652731
DROCC_head,2,0.6035914101916039,0.7900863329374559,0.05648491671799096,0.16121104558531751
Bubble_B,2,0.846360113672826,0.9409268045516884,0.11342408851590076,0.5840107108523426
Bubble_BA,2,0.8451159891147857,0.9404955337592333,0.09799612466688427,0.5801559613059772
Bubble_BAD,2,0.8249334717973694,0.9292629293773437,0.07899530823185731,0.5415592904869316
Bubble_BAF,2,0.8497786313019268,0.9430265996494857,0.08403299513767223,0.5689047813067349
NBD,2,0.8135833412241454,0.9255855402779393,0.08026328923381999,0.5377834643263028
