category,seed,NBD_minus_same_centers,NBD_minus_byte_budget
bottle,0,-0.4031746031746031,-0.4031746031746031
bottle,1,-0.45079365079365086,-0.45079365079365086
bottle,2,-0.5007936507936508,-0.5007936507936508
cable,0,-0.1531109445277361,-0.1701649175412292
cable,1,-0.11319340329835059,-0.15029985007496238
cable,2,-0.18253373313343346,-0.20895802098950522
capsule,0,-0.2042281611487834,-0.2532907857997606
capsule,1,-0.2608695652173916,-0.3203031511767054
capsule,2,-0.20143597925807732,-0.22257678500199451
carpet,0,-0.1063402889245586,-0.10313001605136418
carpet,1,-0.020465489566613204,-0.018459069020866803
carpet,2,-0.1713483146067416,-0.17054574638844322
grid,0,-0.16123642439431918,-0.18462823725981636
grid,1,-0.2614870509607352,-0.27318295739348364
grid,2,-0.21971595655806175,-0.25396825396825395
hazelnut,0,-0.5053571428571428,-0.5053571428571428
hazelnut,1,-0.34357142857142864,-0.34357142857142864
hazelnut,2,-0.13357142857142856,-0.13357142857142856
leather,0,-0.11311141304347827,-0.11311141304347827
leather,1,-0.1345108695652174,-0.1345108695652174
leather,2,-0.04823369565217395,-0.04823369565217395
metal_nut,0,-0.41495601173020535,-0.44232649071358754
metal_nut,1,-0.3680351906158358,-0.38220918866080145
metal_nut,2,-0.3304007820136853,-0.35728250244379267
pill,0,-0.24495362793235131,-0.3019639934533551
pill,1,-0.2648663393344245,-0.35297326786688477
pill,2,-0.15493726132023988,-0.22640480087288595
screw,0,-0.12297601967616312,-0.28940356630457065
screw,1,-0.19614675138348026,-0.3621643779463004
screw,2,0.00020496003279379948,-0.1643779463004713
tile,0,2.220446049250313e-16,0.00216450216450248
tile,1,0.0068542568542567794,0.007215007215007119
tile,2,0.0021645021645020357,0.005411255411255422
toothbrush,0,-0.09999999999999987,-0.1694444444444445
toothbrush,1,-0.188888888888889,-0.20277777777777772
toothbrush,2,-0.20277777777777783,-0.2333333333333334
transistor,0,-0.04249999999999998,-0.04541666666666655
transistor,1,-0.005416666666666403,-0.01749999999999985
transistor,2,-0.04208333333333336,-0.047083333333333366
wood,0,-0.25087719298245603,-0.24912280701754386
wood,1,-0.02368421052631564,-0.02631578947368407
wood,2,-0.01754385964912264,-0.021929824561403466
zipper,0,-0.0131302521008404,-0.021008403361344796
zipper,1,-0.02941176470588236,-0.03755252100840356
zipper,2,0.013392857142857206,0.0007878151260504174
