category,seed,method,auroc,average_precision,threshold,test_fpr,test_tpr,false_positives,true_positives,test_normal,test_anomaly,threshold_calibration_count,threshold_calibration_fpr
bottle,0,PatchScore_same_centers,1.0,0.9999999999999998,4.04706084728241,0.0,1.0,0,63,20,63,43,0.0232558139534883
bottle,0,PatchScore_byte_budget,1.0,0.9999999999999998,2.527836322784424,0.1,1.0,2,63,20,63,43,0.0232558139534883
bottle,0,RBF_SVDD,0.7444444444444446,0.9206343672649956,0.1168386840102359,0.0,0.3174603174603174,0,20,20,63,43,0.0232558139534883
bottle,0,DeepSVDD_head,0.9857142857142858,0.9958467628217988,0.0363596735987812,0.1,0.9523809523809524,2,60,20,63,43,0.0232558139534883
bottle,0,DROCC_head,0.4825396825396825,0.7549244597437369,0.0003034898836631,0.05,0.0158730158730158,1,1,20,63,43,0.0232558139534883
bottle,0,Bubble_B,0.5801587301587302,0.8291556323277542,6.042007982676318,0.0,0.0952380952380952,0,6,20,63,43,0.0232558139534883
bottle,0,Bubble_BA,0.580952380952381,0.8303581335302554,12.083359795866867,0.0,0.0952380952380952,0,6,20,63,43,0.0232558139534883
bottle,0,Bubble_BAD,0.5277777777777777,0.771480786323913,15.124123924906389,0.15,0.0476190476190476,3,3,20,63,43,0.0232558139534883
bottle,0,Bubble_BAF,0.7412698412698413,0.9023038331913462,12.627579041352051,0.05,0.2063492063492063,1,13,20,63,43,0.0232558139534883
bottle,0,NBD,0.5968253968253969,0.8000691418529071,16.10733289339777,0.2,0.1587301587301587,4,10,20,63,43,0.0232558139534883
bottle,1,PatchScore_same_centers,1.0,0.9999999999999998,4.141681432723999,0.0,1.0,0,63,20,63,43,0.0232558139534883
bottle,1,PatchScore_byte_budget,1.0,0.9999999999999998,2.850884437561035,0.0,1.0,0,63,20,63,43,0.0232558139534883
bottle,1,RBF_SVDD,0.7992063492063493,0.9392809430001212,0.1048827773109666,0.0,0.4285714285714285,0,27,20,63,43,0.0232558139534883
bottle,1,DeepSVDD_head,0.9896825396825396,0.9968002191247692,0.0116871208883821,0.0,0.8888888888888888,0,56,20,63,43,0.0232558139534883
bottle,1,DROCC_head,0.5,0.7590361445783133,5.258390592643991e-05,0.0,0.0,0,0,20,63,43,0.0
bottle,1,Bubble_B,0.5619047619047619,0.8290736338696232,6.13665628454255,0.0,0.0634920634920634,0,4,20,63,43,0.0232558139534883
bottle,1,Bubble_BA,0.5626984126984127,0.8294471165960471,12.27578789749712,0.0,0.0634920634920634,0,4,20,63,43,0.0232558139534883
bottle,1,Bubble_BAD,0.4309523809523808,0.7257349281631473,14.76519300592586,0.1,0.0158730158730158,2,1,20,63,43,0.0232558139534883
bottle,1,Bubble_BAF,0.623015873015873,0.8620453746997365,12.61958838124954,0.0,0.1269841269841269,0,8,20,63,43,0.0232558139534883
bottle,1,NBD,0.5492063492063491,0.7852857902065578,16.253569842774304,0.1,0.0317460317460317,2,2,20,63,43,0.0232558139534883
bottle,2,PatchScore_same_centers,1.0,0.9999999999999998,3.824153900146485,0.0,1.0,0,63,20,63,43,0.0232558139534883
bottle,2,PatchScore_byte_budget,1.0,0.9999999999999998,2.3643741607666016,0.15,1.0,3,63,20,63,43,0.0232558139534883
bottle,2,RBF_SVDD,0.7674603174603175,0.9294857191221912,0.1063007567614737,0.0,0.3174603174603174,0,20,20,63,43,0.0232558139534883
bottle,2,DeepSVDD_head,0.9507936507936507,0.98559375765282,0.0090896755573339,0.1,0.873015873015873,2,55,20,63,43,0.0232558139534883
bottle,2,DROCC_head,0.746031746031746,0.9081882955418208,-0.0007074976238072,0.0,0.1587301587301587,0,10,20,63,43,0.0232558139534883
bottle,2,Bubble_B,0.5007936507936508,0.7936235615494442,5.825575071619567,0.05,0.0952380952380952,1,6,20,63,43,0.0232558139534883
bottle,2,Bubble_BA,0.4920634920634921,0.7888352083330423,11.603155280378234,0.05,0.1428571428571428,1,9,20,63,43,0.0232558139534883
bottle,2,Bubble_BAD,0.4658730158730159,0.769209998124027,13.818716065052172,0.05,0.1587301587301587,1,10,20,63,43,0.0232558139534883
bottle,2,Bubble_BAF,0.526984126984127,0.7893853343176644,12.693296379744012,0.05,0.1269841269841269,1,8,20,63,43,0.0232558139534883
bottle,2,NBD,0.4992063492063492,0.7830788647224776,15.523090751908304,0.05,0.1587301587301587,1,10,20,63,43,0.0232558139534883
cable,0,PatchScore_same_centers,0.982383808095952,0.9898962092536504,6.613239765167236,0.0517241379310344,0.8695652173913043,3,80,58,92,46,0.0217391304347826
