category,seed,fit,score_calibration,test,threshold_calibration
bottle,0,125,41,83,43
bottle,1,125,41,83,43
bottle,2,125,41,83,43
cable,0,134,44,150,46
cable,1,134,44,150,46
cable,2,134,44,150,46
capsule,0,131,43,132,45
capsule,1,131,43,132,45
capsule,2,131,43,132,45
carpet,0,168,56,117,56
carpet,1,168,56,117,56
carpet,2,168,56,117,56
grid,0,158,52,78,54
grid,1,158,52,78,54
grid,2,158,52,78,54
hazelnut,0,234,78,110,79
hazelnut,1,234,78,110,79
hazelnut,2,234,78,110,79
leather,0,147,49,124,49
leather,1,147,49,124,49
leather,2,147,49,124,49
metal_nut,0,132,44,115,44
metal_nut,1,132,44,115,44
metal_nut,2,132,44,115,44
pill,0,160,53,167,54
pill,1,160,53,167,54
pill,2,160,53,167,54
screw,0,192,64,160,64
screw,1,192,64,160,64
screw,2,192,64,160,64
tile,0,138,46,117,46
tile,1,138,46,117,46
tile,2,138,46,117,46
toothbrush,0,36,12,42,12
toothbrush,1,36,12,42,12
toothbrush,2,36,12,42,12
transistor,0,127,42,100,44
transistor,1,127,42,100,44
transistor,2,127,42,100,44
wood,0,148,49,79,50
wood,1,148,49,79,50
wood,2,148,49,79,50
zipper,0,144,48,151,48
zipper,1,144,48,151,48
zipper,2,144,48,151,48
