method,auroc_mean,auroc_sd,ap_mean,ap_sd,fpr_mean,tpr_mean
PatchScore_same_centers,0.9585804263950041,0.002295173333251905,0.9867285664837038,0.0005216541151932478,0.11356767107795074,0.7927992443202972
PatchScore_byte_budget,0.9856378837339395,0.0020530280833133976,0.9958569726967014,0.000614684542970845,0.13228124830048593,0.8704166515241086
RBF_SVDD,0.7820482383007518,0.002553682985369649,0.9045867452732121,0.0016630329676879361,0.06861490320865253,0.4526361785267638
DeepSVDD_head,0.8184627334679484,0.005162899089334693,0.9158081219702269,0.003242295058537913,0.06875706971638064,0.4955643551267337
DROCC_head,0.5445373365741407,0.05433943535339991,0.7573285518678414,0.03294683967964733,0.0351167867391936,0.08384574332951278
Bubble_B,0.8269591528403009,0.018129411488041657,0.9319315427378488,0.008512660420753318,0.11782712163642285,0.5403615465044358
Bubble_BA,0.8279649063133986,0.01624817777607226,0.9325631957997617,0.007533202976763368,0.11072842749598644,0.5380106429411632
Bubble_BAD,0.7972438163985441,0.02456464263397709,0.9153446321375506,0.012928077483821404,0.10309550091796003,0.47715494086997673
Bubble_BAF,0.8282186488480595,0.018759765724365524,0.9326823894975061,0.009144900882401719,0.10893436519259518,0.5319888998364113
NBD,0.7879125919714299,0.023689464249004696,0.9105692273557674,0.014444847723825434,0.1081325137135935,0.4727080086245154
