method,category,seed,auroc,average_precision,test_count
RBF_SVDD_nu_0.01,bottle,0,0.8007936507936508,0.9340988657706222,83
RBF_SVDD_nu_0.1,bottle,0,0.7968253968253969,0.9300714426402399,83
DeepSVDD_one-class,bottle,0,0.9515873015873015,0.9852464846503071,83
DeepSVDD_soft-boundary,bottle,0,0.9238095238095237,0.9740311554153485,83
DROCC,bottle,0,0.3658730158730158,0.7325668038332862,83
PatchCore,bottle,0,1.0,0.9999999999999998,83
Bubble_A+D,bottle,0,0.5071428571428571,0.7603663213223055,83
Bubble_B+D,bottle,0,0.5071428571428571,0.7603663213223055,83
RBF_SVDD_nu_0.01,cable,0,0.5890179910044978,0.7363445847105023,150
RBF_SVDD_nu_0.1,cable,0,0.5976386806596702,0.7405005825747938,150
DeepSVDD_one-class,cable,0,0.835832083958021,0.8922585909154332,150
DeepSVDD_soft-boundary,cable,0,0.7974137931034482,0.8684535572251626,150
DROCC,cable,0,0.6285607196401799,0.7879354681630476,150
PatchCore,cable,0,0.9968140929535232,0.9980305004658686,150
Bubble_A+D,cable,0,0.7355697151424287,0.8493839885713159,150
Bubble_B+D,cable,0,0.7383808095952024,0.8424438048651436,150
RBF_SVDD_nu_0.01,capsule,0,0.4778619864379737,0.81845895442177,132
RBF_SVDD_nu_0.1,capsule,0,0.5157558835261269,0.8222517511711953,132
DeepSVDD_one-class,capsule,0,0.5887514958117273,0.8817332019941639,132
DeepSVDD_soft-boundary,capsule,0,0.5081771041084963,0.8621602310038883,132
DROCC,capsule,0,0.3015556441962505,0.7406489168463556,132
PatchCore,capsule,0,0.9792580773833267,0.9952710076719686,132
Bubble_A+D,capsule,0,0.6505783805345035,0.9137947114873266,132
Bubble_B+D,capsule,0,0.6465895492620662,0.9118548662544314,132
RBF_SVDD_nu_0.01,carpet,0,0.45224719101123595,0.7736392204617863,117
RBF_SVDD_nu_0.1,carpet,0,0.48154093097913325,0.7792703399476065,117
DeepSVDD_one-class,carpet,0,0.6725521669341894,0.883770668572213,117
DeepSVDD_soft-boundary,carpet,0,0.6211878009630818,0.8657009851065938,117
DROCC,carpet,0,0.17616372391653293,0.6493857987590016,117
PatchCore,carpet,0,0.988362760834671,0.9965210144212581,117
Bubble_A+D,carpet,0,0.8479133226324237,0.9316998973966543,117
Bubble_B+D,carpet,0,0.8551364365971108,0.934664054497068,117
RBF_SVDD_nu_0.01,grid,0,0.04928989139515456,0.5314093131842681,78
RBF_SVDD_nu_0.1,grid,0,0.07435254803675857,0.5386128151514022,78
DeepSVDD_one-class,grid,0,0.7510442773600668,0.8853501104133847,78
DeepSVDD_soft-boundary,grid,0,0.7059314954051796,0.8571323063280447,78
DROCC,grid,0,0.3634085213032582,0.7032380883001856,78
PatchCore,grid,0,0.9791144527986633,0.9938472013425412,78
Bubble_A+D,grid,0,0.7468671679197996,0.88559635205344,78
Bubble_B+D,grid,0,0.7426900584795322,0.8837983518839807,78
RBF_SVDD_nu_0.01,hazelnut,0,0.6203571428571429,0.7851933720913402,110
RBF_SVDD_nu_0.1,hazelnut,0,0.5814285714285714,0.7664476115405261,110
DeepSVDD_one-class,hazelnut,0,0.8574999999999999,0.9179676432825998,110
DeepSVDD_soft-boundary,hazelnut,0,0.8271428571428572,0.897736465763008,110
DROCC,hazelnut,0,0.5642857142857144,0.7312334292630773,110
PatchCore,hazelnut,0,1.0,0.9999999999999998,110
Bubble_A+D,hazelnut,0,0.5653571428571429,0.7524710742649456,110
Bubble_B+D,hazelnut,0,0.5403571428571428,0.746208869368731,110
RBF_SVDD_nu_0.01,leather,0,0.4147418478260869,0.7596068829659505,124
RBF_SVDD_nu_0.1,leather,0,0.3862092391304348,0.7423089936532001,124
DeepSVDD_one-class,leather,0,0.9847146739130435,0.9951618434798084,124
DeepSVDD_soft-boundary,leather,0,0.9833559782608695,0.9947547510711723,124
DROCC,leather,0,0.5081521739130435,0.8188871436998255,124
PatchCore,leather,0,1.0,1.0000000000000002,124
Bubble_A+D,leather,0,0.8600543478260869,0.9298822658863006,124
Bubble_B+D,leather,0,0.8651494565217391,0.9303256131763461,124
RBF_SVDD_nu_0.01,metal_nut,0,0.3426197458455523,0.7363477029002703,115
RBF_SVDD_nu_0.1,metal_nut,0,0.2859237536656891,0.7181598234270969,115
DeepSVDD_one-class,metal_nut,0,0.6950146627565983,0.9033818332771322,115
DeepSVDD_soft-boundary,metal_nut,0,0.647605083088954,0.9002568317228243,115
DROCC,metal_nut,0,0.5386119257086999,0.8435040071951782,115
PatchCore,metal_nut,0,0.9990224828934506,0.9997736276174306,115
Bubble_A+D,metal_nut,0,0.5826001955034212,0.860090091066147,115
Bubble_B+D,metal_nut,0,0.570869990224829,0.8440136938388207,115
RBF_SVDD_nu_0.01,pill,0,0.6759410801963993,0.9271997316931927,167
RBF_SVDD_nu_0.1,pill,0,0.6854882705946537,0.9306153445730956,167
DeepSVDD_one-class,pill,0,0.7408619749045281,0.9383168528397906,167
DeepSVDD_soft-boundary,pill,0,0.7018548827059465,0.9317026643489423,167
DROCC,pill,0,0.3799781778505183,0.7816818228958684,167
PatchCore,pill,0,0.9667212220403709,0.9941063221115958,167
Bubble_A+D,pill,0,0.6456628477905074,0.9136677534734793,167
Bubble_B+D,pill,0,0.6440261865793782,0.9117173090357638,167
RBF_SVDD_nu_0.01,screw,0,0.1672473867595819,0.5756246317130251,160
RBF_SVDD_nu_0.1,screw,0,0.17749538839926216,0.5782383565178457,160
DeepSVDD_one-class,screw,0,0.5130149620823938,0.7588958980950343,160
DeepSVDD_soft-boundary,screw,0,0.4968231194916991,0.7316456678016614,160
DROCC,screw,0,0.2309899569583931,0.597346517674156,160
PatchCore,screw,0,0.9877023980323837,0.9955535859932847,160
Bubble_A+D,screw,0,0.631891781102685,0.8502580862712151,160
Bubble_B+D,screw,0,0.6292273006763681,0.8495931846876753,160
RBF_SVDD_nu_0.01,tile,0,0.7500000000000001,0.8658396209269765,117
RBF_SVDD_nu_0.1,tile,0,0.7463924963924964,0.864158972477226,117
DeepSVDD_one-class,tile,0,0.7031024531024531,0.8779824751743288,117
DeepSVDD_soft-boundary,tile,0,0.757936507936508,0.9003208999723538,117
DROCC,tile,0,0.44516594516594515,0.7563114905360278,117
PatchCore,tile,0,0.9949494949494949,0.9982317927170866,117
Bubble_A+D,tile,0,0.9935064935064936,0.9978991596638653,117
Bubble_B+D,tile,0,0.9917027417027418,0.9973874770033797,117
RBF_SVDD_nu_0.01,toothbrush,0,0.5916666666666667,0.853474084056074,42
RBF_SVDD_nu_0.1,toothbrush,0,0.5833333333333333,0.850656196534239,42
DeepSVDD_one-class,toothbrush,0,0.9888888888888889,0.996078431372549,42
DeepSVDD_soft-boundary,toothbrush,0,0.9777777777777777,0.9929824561403509,42
DROCC,toothbrush,0,0.7972222222222223,0.9237091635251924,42
PatchCore,toothbrush,0,1.0,0.9999999999999999,42
Bubble_A+D,toothbrush,0,0.8250000000000001,0.9187418936027388,42
Bubble_B+D,toothbrush,0,0.8250000000000001,0.9186909317096718,42
RBF_SVDD_nu_0.01,transistor,0,0.6654166666666667,0.6641745443867391,100
RBF_SVDD_nu_0.1,transistor,0,0.6691666666666667,0.6591936585129707,100
DeepSVDD_one-class,transistor,0,0.8204166666666667,0.8155715456765726,100
DeepSVDD_soft-boundary,transistor,0,0.7704166666666666,0.7854016170370639,100
DROCC,transistor,0,0.44375,0.42480887364261144,100
PatchCore,transistor,0,0.9987499999999999,0.9981242182614134,100
Bubble_A+D,transistor,0,0.9166666666666667,0.919108594115019,100
Bubble_B+D,transistor,0,0.8970833333333333,0.8989724636729293,100
RBF_SVDD_nu_0.01,wood,0,0.7894736842105262,0.9328185185894163,79
RBF_SVDD_nu_0.1,wood,0,0.7947368421052631,0.9345152989520479,79
DeepSVDD_one-class,wood,0,0.9377192982456141,0.9783771091129271,79
DeepSVDD_soft-boundary,wood,0,0.9403508771929825,0.9788899968196999,79
DROCC,wood,0,0.38333333333333336,0.7138192693872469,79
PatchCore,wood,0,0.9912280701754386,0.9972913579389339,79
Bubble_A+D,wood,0,0.5675438596491228,0.729136894664374,79
Bubble_B+D,wood,0,0.5491228070175439,0.7213144360154603,79
RBF_SVDD_nu_0.01,zipper,0,0.5766806722689075,0.8327360088905646,151
RBF_SVDD_nu_0.1,zipper,0,0.6050420168067228,0.8322442752024963,151
DeepSVDD_one-class,zipper,0,0.8739495798319328,0.9440410306922906,151
DeepSVDD_soft-boundary,zipper,0,0.8303571428571429,0.9325785947392509,151
DROCC,zipper,0,0.4380252100840336,0.7645220430088268,151
PatchCore,zipper,0,0.9950105042016807,0.9986521944487193,151
Bubble_A+D,zipper,0,0.9579831932773109,0.9889383095471058,151
Bubble_B+D,zipper,0,0.9611344537815125,0.9898790781123156,151
