method,category,seed,auroc,average_precision,test_count
RBF_SVDD_nu_0.01,bottle,0,0.8007936507936508,0.9340988657706222,83
RBF_SVDD_nu_0.1,bottle,0,0.7968253968253969,0.9300714426402399,83
DeepSVDD_one-class,bottle,0,0.8698412698412699,0.9585484157709545,83
DeepSVDD_soft-boundary,bottle,0,0.8833333333333334,0.9637443605366627,83
DROCC,bottle,0,0.730952380952381,0.9172857560768064,83
PatchCore,bottle,0,1.0,0.9999999999999998,83
Bubble_A+D,bottle,0,0.5071428571428571,0.7603663213223055,83
Bubble_B+D,bottle,0,0.5071428571428571,0.7603663213223055,83
RBF_SVDD_nu_0.01,cable,0,0.5890179910044978,0.7363445847105023,150
RBF_SVDD_nu_0.1,cable,0,0.5976386806596702,0.7405005825747938,150
DeepSVDD_one-class,cable,0,0.5714017991004497,0.7088863746283629,150
DeepSVDD_soft-boundary,cable,0,0.5766491754122939,0.7155455490684648,150
DROCC,cable,0,0.5785232383808097,0.7090552026106269,150
PatchCore,cable,0,0.9968140929535232,0.9980305004658686,150
Bubble_A+D,cable,0,0.7355697151424287,0.8493839885713159,150
Bubble_B+D,cable,0,0.7383808095952024,0.8424438048651436,150
RBF_SVDD_nu_0.01,capsule,0,0.4778619864379737,0.81845895442177,132
RBF_SVDD_nu_0.1,capsule,0,0.5157558835261269,0.8222517511711953,132
DeepSVDD_one-class,capsule,0,0.5931392102114083,0.8873394151659479,132
DeepSVDD_soft-boundary,capsule,0,0.5823693657758277,0.8839534251525311,132
DROCC,capsule,0,0.4762664539289988,0.8026249407607362,132
PatchCore,capsule,0,0.9792580773833267,0.9952710076719686,132
Bubble_A+D,capsule,0,0.6505783805345035,0.9137947114873266,132
Bubble_B+D,capsule,0,0.6465895492620662,0.9118548662544314,132
RBF_SVDD_nu_0.01,carpet,0,0.45224719101123595,0.7736392204617863,117
RBF_SVDD_nu_0.1,carpet,0,0.48154093097913325,0.7792703399476065,117
DeepSVDD_one-class,carpet,0,0.5236757624398074,0.8123119120528349,117
DeepSVDD_soft-boundary,carpet,0,0.5208667736757624,0.8118367682671623,117
DROCC,carpet,0,0.7186998394863563,0.8879864579559573,117
PatchCore,carpet,0,0.988362760834671,0.9965210144212581,117
Bubble_A+D,carpet,0,0.8479133226324237,0.9316998973966543,117
Bubble_B+D,carpet,0,0.8551364365971108,0.934664054497068,117
RBF_SVDD_nu_0.01,grid,0,0.04928989139515456,0.5314093131842681,78
RBF_SVDD_nu_0.1,grid,0,0.07435254803675857,0.5386128151514022,78
DeepSVDD_one-class,grid,0,0.6006683375104428,0.8233693448552166,78
DeepSVDD_soft-boundary,grid,0,0.6031746031746033,0.8255423778370254,78
DROCC,grid,0,0.5605680868838764,0.8065750758751835,78
PatchCore,grid,0,0.9791144527986633,0.9938472013425412,78
Bubble_A+D,grid,0,0.7468671679197996,0.88559635205344,78
Bubble_B+D,grid,0,0.7426900584795322,0.8837983518839807,78
RBF_SVDD_nu_0.01,hazelnut,0,0.6203571428571429,0.7851933720913402,110
RBF_SVDD_nu_0.1,hazelnut,0,0.5814285714285714,0.7664476115405261,110
DeepSVDD_one-class,hazelnut,0,0.5035714285714286,0.7004376753266237,110
DeepSVDD_soft-boundary,hazelnut,0,0.5067857142857143,0.6988273146284278,110
DROCC,hazelnut,0,0.73,0.8509834256941418,110
PatchCore,hazelnut,0,1.0,0.9999999999999998,110
Bubble_A+D,hazelnut,0,0.5653571428571429,0.7524710742649456,110
Bubble_B+D,hazelnut,0,0.5403571428571428,0.746208869368731,110
RBF_SVDD_nu_0.01,leather,0,0.4147418478260869,0.7596068829659505,124
RBF_SVDD_nu_0.1,leather,0,0.3862092391304348,0.7423089936532001,124
DeepSVDD_one-class,leather,0,0.6970108695652173,0.8970627102872557,124
DeepSVDD_soft-boundary,leather,0,0.7160326086956521,0.9028961934367619,124
DROCC,leather,0,0.42968750000000006,0.7995814233834939,124
PatchCore,leather,0,1.0,1.0000000000000002,124
Bubble_A+D,leather,0,0.8600543478260869,0.9298822658863006,124
Bubble_B+D,leather,0,0.8651494565217391,0.9303256131763461,124
RBF_SVDD_nu_0.01,metal_nut,0,0.3426197458455523,0.7363477029002703,115
RBF_SVDD_nu_0.1,metal_nut,0,0.2859237536656891,0.7181598234270969,115
DeepSVDD_one-class,metal_nut,0,0.6661779081133921,0.8871832051581088,115
DeepSVDD_soft-boundary,metal_nut,0,0.6759530791788856,0.8943885803842551,115
DROCC,metal_nut,0,0.7047898338220919,0.9071442381002333,115
PatchCore,metal_nut,0,0.9990224828934506,0.9997736276174306,115
Bubble_A+D,metal_nut,0,0.5826001955034212,0.860090091066147,115
Bubble_B+D,metal_nut,0,0.570869990224829,0.8440136938388207,115
RBF_SVDD_nu_0.01,pill,0,0.6759410801963993,0.9271997316931927,167
RBF_SVDD_nu_0.1,pill,0,0.6854882705946537,0.9306153445730956,167
DeepSVDD_one-class,pill,0,0.40207310420076375,0.822525692483703,167
DeepSVDD_soft-boundary,pill,0,0.3914348063284233,0.8136387093243398,167
DROCC,pill,0,0.5687397708674304,0.8781584311788773,167
PatchCore,pill,0,0.9667212220403709,0.9941063221115958,167
Bubble_A+D,pill,0,0.6456628477905074,0.9136677534734793,167
Bubble_B+D,pill,0,0.6440261865793782,0.9117173090357638,167
RBF_SVDD_nu_0.01,screw,0,0.1672473867595819,0.5756246317130251,160
RBF_SVDD_nu_0.1,screw,0,0.17749538839926216,0.5782383565178457,160
DeepSVDD_one-class,screw,0,0.4666939946710391,0.7413120866295466,160
DeepSVDD_soft-boundary,screw,0,0.4732527157204345,0.7463086660174042,160
DROCC,screw,0,0.5279770444763271,0.7779999241505202,160
PatchCore,screw,0,0.9877023980323837,0.9955535859932847,160
Bubble_A+D,screw,0,0.631891781102685,0.8502580862712151,160
Bubble_B+D,screw,0,0.6292273006763681,0.8495931846876753,160
RBF_SVDD_nu_0.01,tile,0,0.7500000000000001,0.8658396209269765,117
RBF_SVDD_nu_0.1,tile,0,0.7463924963924964,0.864158972477226,117
DeepSVDD_one-class,tile,0,0.6572871572871571,0.8512643405036731,117
DeepSVDD_soft-boundary,tile,0,0.6479076479076479,0.8455997751650421,117
DROCC,tile,0,0.6937229437229437,0.8306114558060127,117
PatchCore,tile,0,0.9949494949494949,0.9982317927170866,117
Bubble_A+D,tile,0,0.9935064935064936,0.9978991596638653,117
Bubble_B+D,tile,0,0.9917027417027418,0.9973874770033797,117
RBF_SVDD_nu_0.01,toothbrush,0,0.5916666666666667,0.853474084056074,42
RBF_SVDD_nu_0.1,toothbrush,0,0.5833333333333333,0.850656196534239,42
DeepSVDD_one-class,toothbrush,0,0.5333333333333334,0.7712390641501559,42
DeepSVDD_soft-boundary,toothbrush,0,0.5305555555555556,0.7652439481550399,42
DROCC,toothbrush,0,0.6694444444444445,0.8621507306469312,42
PatchCore,toothbrush,0,1.0,0.9999999999999999,42
Bubble_A+D,toothbrush,0,0.8250000000000001,0.9187418936027388,42
Bubble_B+D,toothbrush,0,0.8250000000000001,0.9186909317096718,42
RBF_SVDD_nu_0.01,transistor,0,0.6654166666666667,0.6641745443867391,100
RBF_SVDD_nu_0.1,transistor,0,0.6691666666666667,0.6591936585129707,100
DeepSVDD_one-class,transistor,0,0.6508333333333333,0.6373719216119382,100
DeepSVDD_soft-boundary,transistor,0,0.6341666666666667,0.6134043841854718,100
DROCC,transistor,0,0.72625,0.7392542058919449,100
PatchCore,transistor,0,0.9987499999999999,0.9981242182614134,100
Bubble_A+D,transistor,0,0.9166666666666667,0.919108594115019,100
Bubble_B+D,transistor,0,0.8970833333333333,0.8989724636729293,100
RBF_SVDD_nu_0.01,wood,0,0.7894736842105262,0.9328185185894163,79
RBF_SVDD_nu_0.1,wood,0,0.7947368421052631,0.9345152989520479,79
DeepSVDD_one-class,wood,0,0.48596491228070177,0.8100397191088741,79
DeepSVDD_soft-boundary,wood,0,0.5078947368421053,0.8178184525795801,79
DROCC,wood,0,0.862280701754386,0.957463953817932,79
PatchCore,wood,0,0.9912280701754386,0.9972913579389339,79
Bubble_A+D,wood,0,0.5675438596491228,0.729136894664374,79
Bubble_B+D,wood,0,0.5491228070175439,0.7213144360154603,79
RBF_SVDD_nu_0.01,zipper,0,0.5766806722689075,0.8327360088905646,151
RBF_SVDD_nu_0.1,zipper,0,0.6050420168067228,0.8322442752024963,151
DeepSVDD_one-class,zipper,0,0.4201680672268907,0.7551732714820774,151
DeepSVDD_soft-boundary,zipper,0,0.44380252100840334,0.7645593940320476,151
DROCC,zipper,0,0.6365546218487395,0.8674856596269926,151
PatchCore,zipper,0,0.9950105042016807,0.9986521944487193,151
Bubble_A+D,zipper,0,0.9579831932773109,0.9889383095471058,151
Bubble_B+D,zipper,0,0.9611344537815125,0.9898790781123156,151
