gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.01,0.49164835164835163,0.078807397003402,55,82,0
0.001953125,0.01,0.48356532356532356,0.09094267900218256,67,113,0
0.00390625,0.01,0.4682417582417582,0.12555139399773907,103,197,0
0.0078125,0.01,0.46399267399267397,0.31550074298866093,338,593,0
0.015625,0.01,0.4602319902319903,1.1367071870045038,1270,1922,0
0.03125,0.01,0.45439560439560434,5.522738052997738,3439,4595,0
0.0625,0.01,0.4511721611721612,4.666935475994251,4886,9270,0
0.125,0.01,0.4546764346764347,6.619634953007335,5000,9150,0
0.25,0.01,0.4580586080586081,5.748381864992552,5000,9150,0
0.5,0.01,0.43384004884004884,5.004907065987936,5000,9150,0
