gamma,nu,labeled_test_holdout_auroc,fit_seconds,support_count,iterations,fit_status
0.0009765625,0.1,0.9069800965825431,0.7393920489994343,590,576,0
0.001953125,0.1,0.9078964981105653,0.7152220049902098,591,583,0
0.00390625,0.1,0.9096675212883164,0.7210492719896138,593,595,0
0.0078125,0.1,0.9132301609365829,0.7225013249990297,602,635,0
0.015625,0.1,0.9198714978531493,0.7279974279954331,617,663,0
0.03125,0.1,0.9243299457366735,0.7898879589920398,695,882,0
0.0625,0.1,0.9231458314027121,1.9917645700043067,1710,2745,0
0.125,0.1,0.8967967133104748,5.358793711988255,4923,8413,0
0.25,0.1,0.8937900925668509,4.811035755992634,5800,12580,0
0.5,0.1,0.8943975947034052,5.0819626099983,5800,15660,0
