category,method,auroc_mean,auroc_sd
bottle,Bubble_B,0.48174603174603176,0.15271746902838218
bottle,Bubble_BA,0.48174603174603176,0.15258542828582966
bottle,Bubble_BAD,0.4939153439153439,0.07985694146004667
bottle,Bubble_BAF,0.6121693121693123,0.1417068622299465
bottle,DROCC_head,0.523015873015873,0.03986466144404558
bottle,DeepSVDD_head,0.9843915343915345,0.007949724445141144
bottle,NBD,0.6074074074074075,0.06964408190183102
bottle,PatchCore_same_fit_top1pct,1.0,0.0
bottle,PatchScore_byte_budget,1.0,0.0
bottle,PatchScore_same_centers,1.0,0.0
bottle,RBF_SVDD,0.6716931216931217,0.03758196998508759
cable,Bubble_B,0.791104447776112,0.047149105239289606
cable,Bubble_BA,0.7850449775112444,0.05159190177721623
cable,Bubble_BAD,0.7491879060469765,0.05700797693602448
cable,Bubble_BAF,0.7935407296351825,0.046304653848201496
cable,DROCC_head,0.49750124937531237,0.00432796303740348
cable,DeepSVDD_head,0.73531984007996,0.010031635765190339
cable,NBD,0.7528110944527736,0.05652560394248751
cable,PatchCore_same_fit_top1pct,0.9980009995002499,0.0005725356940224837
cable,PatchScore_byte_budget,0.9980634682658671,0.0009244533100292529
cable,PatchScore_same_centers,0.9522738630684658,0.009322089796096935
cable,RBF_SVDD,0.6937156421789106,0.014725810759855941
capsule,Bubble_B,0.7905863581970483,0.08528173499448029
capsule,Bubble_BA,0.7904533971546336,0.08348132460984119
capsule,Bubble_BAD,0.7246376811594203,0.13352777767654905
capsule,Bubble_BAF,0.7955059167663875,0.11382529179953918
capsule,DROCC_head,0.4551256481850818,0.07738641077171467
capsule,DeepSVDD_head,0.8203696316979125,0.008303414437439668
capsule,NBD,0.7181225900811062,0.13379977448643987
capsule,PatchCore_same_fit_top1pct,0.9734077915170856,0.007238748883827257
capsule,PatchScore_byte_budget,0.9734077915170856,0.0068200072347997555
capsule,PatchScore_same_centers,0.9329876346230556,0.007190967840973238
capsule,RBF_SVDD,0.578513495545805,0.02155568749958126
carpet,Bubble_B,0.9273675762439808,0.06119944467372242
carpet,Bubble_BA,0.959804708400214,0.011623970775796843
carpet,Bubble_BAD,0.8949973247726056,0.03880716799994125
