category,seed,NBD_minus_PatchScore_same_centers,NBD_minus_PatchScore_byte_budget,NBD_minus_RBF_SVDD,NBD_minus_DeepSVDD_head,NBD_minus_DROCC_head,NBD_minus_Bubble_B,NBD_minus_Bubble_BA,NBD_minus_Bubble_BAD,NBD_minus_Bubble_BAF,NBD_minus_PatchCore_same_fit_top1pct
bottle,0,-0.4650793650793651,-0.4650793650793651,-0.11428571428571432,-0.45238095238095244,-0.03412698412698412,0.11428571428571427,0.11507936507936506,0.12301587301587302,-0.005555555555555536,-0.4650793650793651
bottle,1,-0.38650793650793647,-0.38650793650793647,-0.03730158730158728,-0.36190476190476184,0.11349206349206353,0.24444444444444446,0.24365079365079367,0.11507936507936511,0.09285714285714286,-0.38650793650793647
bottle,2,-0.32619047619047614,-0.32619047619047614,-0.041269841269841234,-0.31666666666666665,0.17380952380952386,0.0182539682539683,0.0182539682539683,0.10238095238095246,-0.10158730158730156,-0.32619047619047614
cable,0,-0.14186656671664166,-0.1973388305847077,0.12293853073463268,0.07271364317841078,0.29966266866566715,-0.026236881559220437,-0.018928035982008984,0.00880809595202392,-0.03748125937031488,-0.19883808095952027
cable,1,-0.18834332833583212,-0.22976011994002998,0.06596701649175418,0.036169415292353846,0.2762368815592204,-0.04122938530734632,-0.042166416791604155,-0.0037481259370314435,-0.029797601199400336,-0.2286356821589205
cable,2,-0.2681784107946027,-0.30865817091454273,-0.011619190404797641,-0.05640929535232386,0.19002998500749624,-0.04741379310344829,-0.0356071964017991,0.005809595202398765,-0.054910044977511285,-0.308095952023988
capsule,0,-0.11647387315516555,-0.16154766653370556,0.2185879537295573,-0.02114080574391697,0.43039489429597133,-0.03829278021539684,-0.037495013960909374,-0.001994415636218605,-0.0678101316314319,-0.16194654966094935
capsule,1,-0.15357000398883125,-0.1998404467491025,0.22776226565616275,-0.032309533306741134,0.3270841643398485,-0.05105704028719582,-0.04946150777822089,-0.011168727562824055,-0.06342241723175102,-0.20023932987634618
capsule,2,-0.3745512564818507,-0.4044674910251296,-0.02752293577981646,-0.2532907857997606,0.03151176705225378,-0.12804148384523328,-0.1300358994814519,-0.0063821300358994915,-0.1009174311926605,-0.4036697247706421
carpet,0,-0.0959069020866774,-0.0955056179775281,-0.0878812199036918,-0.0918940609951846,-0.11276083467094711,0.026484751203852297,-0.0702247191011236,0.011637239165328994,-0.049357945425361205,-0.09831460674157311
carpet,1,-0.035313001605136396,-0.038924558587479896,-0.027287319422150902,-0.0337078651685393,0.4622792937399679,-0.027287319422150902,-0.0268860353130016,0.006420545746388506,-0.0268860353130016,-0.0393258426966292
carpet,2,-0.0810593900481541,-0.0818619582664526,-0.0734349919743178,-0.0597913322632424,0.408908507223114,-0.05096308186195819,-0.05196629213483139,0.027287319422150902,-0.0678170144462279,-0.0842696629213483
grid,0,0.0025062656641603454,-0.022556390977443663,0.1720969089390142,0.02172096908939014,0.7109440267335003,-0.01754385964912286,-0.01754385964912286,-0.010860484544695126,-0.013366750208855471,-0.023391812865497075
grid,1,-0.018379281537176273,-0.030910609857978333,0.18128654970760227,-0.009189640768588192,0.6892230576441103,-0.024227234753550597,-0.024227234753550597,-0.01670843776106934,-0.009189640768588192,-0.0292397660818714
grid,2,-0.011695906432748537,-0.0342522974101922,0.1821219715956558,-0.00417710944026739,0.6917293233082706,-0.02506265664160401,-0.022556390977443663,-0.009189640768588192,-0.01754385964912286,-0.024227234753550597
hazelnut,0,-0.2825,-0.2828571428571428,-0.15999999999999992,-0.22571428571428565,0.2171428571428572,-0.008571428571428563,0.014285714285714346,0.02928571428571436,-0.034642857142857086,-0.2828571428571428
hazelnut,1,-0.2953571428571429,-0.29928571428571427,-0.16892857142857143,-0.22285714285714286,0.20071428571428573,0.009285714285714342,0.03249999999999997,0.10178571428571426,-0.09285714285714286,-0.29928571428571427
hazelnut,2,-0.19964285714285712,-0.19964285714285712,-0.07392857142857145,-0.1428571428571428,0.3003571428571429,-0.01107142857142851,-0.011785714285714288,0.020714285714285685,-0.02571428571428569,-0.19964285714285712
leather,0,-0.0037364130434782705,-0.0037364130434782705,-0.0037364130434782705,-0.0037364130434782705,0.2404891304347826,-0.0037364130434782705,-0.0037364130434782705,0.005434782608695676,-0.0037364130434782705,-0.0037364130434782705
leather,1,-0.021399456521739135,-0.021399456521739135,-0.021399456521739135,-0.021399456521739135,0.740828804347826,-0.021399456521739135,-0.021399456521739135,0.02004076086956519,-0.021399456521739135,-0.021399456521739135
leather,2,-0.05808423913043481,-0.05808423913043481,-0.05808423913043481,-0.05808423913043481,0.2021059782608695,-0.02683423913043481,-0.05808423913043481,0.013586956521739135,-0.05808423913043481,-0.05808423913043481
metal_nut,0,-0.3318670576735093,-0.35777126099706746,0.1852394916911046,-0.2541544477028348,0.14173998044965785,-0.012707722385141729,-0.015151515151515138,-0.03665689149560114,-0.01319648093841641,-0.35826001955034215
metal_nut,1,-0.4252199413489737,-0.4574780058651027,0.07038123167155419,-0.3455522971652004,0.14662756598240467,0.03470185728250241,0.03958944281524923,0.04887585532746819,-0.06060606060606066,-0.456989247311828
metal_nut,2,-0.47067448680351903,-0.5493646138807429,-0.007331378299120228,-0.45454545454545453,-0.04985337243401761,-0.016129032258064502,-0.02688172043010756,0.00782013685239491,-0.09970674486803516,-0.5498533724340176
pill,0,-0.5136388434260775,-0.5504637206764866,-0.11893071467539551,-0.41925804691762136,-0.0739225313693399,-0.107746863066012,-0.1148390616475723,-0.0313693398799782,-0.10692853246044742,-0.5414620840152755
pill,1,-0.30169121658483367,-0.39470812875068195,0.03982542280414614,-0.1936715766503001,0.08210583742498634,0.1260229132569558,0.12847790507364976,0.06519367157665024,0.0897435897435897,-0.3846153846153847
pill,2,-0.44298963447899625,-0.4948172394980906,-0.08156028368794327,-0.3385160938352428,-0.029187124931805808,0.01172940534642658,0.004637206764866342,-0.0013638843426077574,0.013093289689034338,-0.49018003273322425
screw,0,-0.14900594384095112,-0.3998770239803239,0.021930723508915673,-0.06968641114982588,0.052777208444353296,0.02213568354170936,0.010452961672473782,-0.0186513629842181,0.05513424882147977,-0.4119696659151466
screw,1,-0.0621028899364624,-0.30293092846894853,0.15822914531666332,0.02152080344332863,0.14142242262758764,-0.09981553597048576,-0.11026849764295954,-0.07358065177290429,-0.02684976429596231,-0.31830293092846895
screw,2,-0.09592129534740723,-0.37712646034023356,0.06825169092027061,0.028694404591104727,0.27280180364828865,-0.08198401311744208,-0.09674113547858165,-0.06066816970690714,-0.018856323017011678,-0.3871695019471203
tile,0,0.003968253968253954,0.006132756132756101,0.005411255411255422,0.06637806637806642,0.4476911976911977,0.0014430014430014682,0.0003607503607503393,-0.0003607503607503393,0.0021645021645021467,0.0068542568542568905
tile,1,0.0010822510822511289,0.005411255411255422,0.004689754689754744,0.04761904761904767,0.019480519480519543,-0.003607503607503504,-0.0028860028860028253,-0.0003607503607503393,-0.002525252525252486,0.002525252525252597
tile,2,-0.003607503607503615,-0.006493506493506551,0.0,0.058802308802308745,0.4137806637806638,-0.005050505050505083,-0.0043290043290044045,0.0,-0.0043290043290044045,-0.0010822510822511289
toothbrush,0,-0.18055555555555547,-0.19444444444444442,0.002777777777777768,0.15833333333333333,0.47500000000000003,0.03888888888888897,0.03888888888888897,0.008333333333333415,0.019444444444444486,-0.19444444444444442
toothbrush,1,-0.21111111111111114,-0.21666666666666667,-0.005555555555555536,0.13055555555555554,0.3333333333333333,0.05555555555555558,0.061111111111111116,0.011111111111111072,-0.022222222222222254,-0.21666666666666667
toothbrush,2,-0.3138888888888889,-0.31666666666666665,-0.10555555555555551,0.08333333333333337,0.28611111111111115,-0.09722222222222221,-0.09444444444444444,-0.0444444444444444,-0.07777777777777772,-0.3194444444444444
transistor,0,-0.15125,-0.15666666666666662,0.18458333333333343,-0.0050000000000000044,0.27083333333333337,-0.07624999999999993,-0.08291666666666664,0.00666666666666671,-0.07666666666666666,-0.15666666666666662
transistor,1,-0.06875000000000009,-0.07791666666666675,0.2433333333333333,0.0625,0.4208333333333333,-0.025000000000000022,-0.0245833333333334,0.012499999999999956,-0.028750000000000053,-0.07833333333333337
transistor,2,-0.09375,-0.10250000000000004,0.22416666666666663,0.08708333333333329,0.39708333333333334,-0.057916666666666616,-0.05499999999999994,0.0012499999999999734,-0.06291666666666662,-0.1020833333333333
wood,0,0.0035087719298245723,0.0035087719298245723,0.004385964912280715,0.00877192982456143,0.6649122807017543,0.04912280701754379,0.023245614035087736,-0.0017543859649122862,-0.0017543859649122862,0.0026315789473684292
wood,1,-0.00877192982456143,-0.012280701754386003,-0.0061403508771930015,0.002631578947368318,0.021929824561403466,-0.004385964912280715,-0.0052631578947368585,0.0008771929824560321,-0.004385964912280715,-0.012280701754386003
wood,2,-0.010526315789473606,-0.012280701754385892,-0.007894736842105177,0.0026315789473684292,0.6570175438596492,-0.007017543859649034,-0.007017543859649034,-0.007017543859649034,-0.00877192982456132,-0.009649122807017463
zipper,0,-0.18671218487394958,-0.19301470588235292,-0.007352941176470562,-0.14679621848739488,0.428046218487395,-0.10044642857142849,-0.1007090336134453,-0.007615546218487368,-0.09611344537815125,-0.1922268907563025
zipper,1,-0.07851890756302526,-0.08350840336134457,0.09637605042016806,-0.04936974789915971,0.4579831932773109,-0.04175420168067234,-0.04070378151260512,0.0034138655462184753,-0.04753151260504207,-0.08193277310924374
zipper,2,-0.03440126050420167,-0.04175420168067223,0.1607142857142858,-0.011029411764705843,0.6011029411764706,-0.027048319327730996,-0.02547268907563016,0.002363445378151363,-0.025735294117646967,-0.040966386554621814
