category,seed,method,auroc,average_precision,threshold,test_fpr,test_tpr,false_positives,true_positives,test_normal,test_anomaly,threshold_calibration_count,threshold_calibration_fpr
bottle,0,PatchScore_same_centers,1.0,0.9999999999999982,3.1951135396957397,0.05,1.0,1,63,20,63,43,0.023255813953488372
bottle,0,PatchScore_byte_budget,1.0,0.9999999999999982,1.9329969882965088,0.1,1.0,2,63,20,63,43,0.023255813953488372
bottle,0,RBF_SVDD,0.6492063492063492,0.8774220449092159,0.06354265263024803,0.1,0.30158730158730157,2,19,20,63,43,0.023255813953488372
bottle,0,DeepSVDD_head,0.9873015873015873,0.9960700240316124,0.015780671266838908,0.3,1.0,6,63,20,63,43,0.023255813953488372
bottle,0,DROCC_head,0.569047619047619,0.8020324893946682,-0.03337553795427084,0.05,0.031746031746031744,1,2,20,63,43,0.023255813953488372
bottle,0,Bubble_B,0.42063492063492064,0.7446707264546022,6.468937644791804,0.05,0.047619047619047616,1,3,20,63,43,0.023255813953488372
bottle,0,Bubble_BA,0.41984126984126985,0.7444668437319224,12.937875289583609,0.05,0.047619047619047616,1,3,20,63,43,0.023255813953488372
bottle,0,Bubble_BAD,0.4119047619047619,0.7604144291207213,14.687675894126055,0.05,0.12698412698412698,1,8,20,63,43,0.023255813953488372
bottle,0,Bubble_BAF,0.5404761904761904,0.7952505136892878,13.189558130650136,0.1,0.12698412698412698,2,8,20,63,43,0.023255813953488372
bottle,0,NBD,0.5349206349206349,0.8136969242329469,15.95484673289442,0.05,0.1746031746031746,1,11,20,63,43,0.023255813953488372
bottle,0,PatchCore_same_fit_top1pct,1.0,0.9999999999999982,1.669986605644226,0.15,1.0,3,63,20,63,43,0.023255813953488372
bottle,1,PatchScore_same_centers,1.0,0.9999999999999982,3.449388861656189,0.0,1.0,0,63,20,63,43,0.023255813953488372
bottle,1,PatchScore_byte_budget,1.0,0.9999999999999982,2.457965850830078,0.0,1.0,0,63,20,63,43,0.023255813953488372
bottle,1,RBF_SVDD,0.6507936507936508,0.8843806976583485,0.06598555066571188,0.0,0.3333333333333333,0,21,20,63,43,0.023255813953488372
bottle,1,DeepSVDD_head,0.9753968253968254,0.9927552911970868,0.021743992809206247,0.15,0.9206349206349206,3,58,20,63,43,0.023255813953488372
bottle,1,DROCC_head,0.5,0.7590361445783133,-0.08379851281642914,0.0,0.0,0,0,20,63,43,0.0
bottle,1,Bubble_B,0.36904761904761907,0.7530550180674052,5.714890532829586,0.35,0.23809523809523808,7,15,20,63,43,0.023255813953488372
bottle,1,Bubble_BA,0.36984126984126986,0.753247069076153,11.431360983033734,0.35,0.23809523809523808,7,15,20,63,43,0.023255813953488372
bottle,1,Bubble_BAD,0.4984126984126984,0.7849939280609727,14.25275552451593,0.0,0.07936507936507936,0,5,20,63,43,0.023255813953488372
