category,seed,nbd_geometry_bytes,patchscore_geometry_bytes,patchscore_memory_vectors,shared_backbone_and_component_calibration_excluded,svdd_support_vectors_for_fit
bottle,0,9446408,9445376,2306,True,2048
bottle,1,9446408,9445376,2306,True,2048
bottle,2,9446408,9445376,2306,True,2048
cable,0,9446408,9445376,2306,True,2048
cable,1,9446408,9445376,2306,True,2048
cable,2,9446408,9445376,2306,True,2048
capsule,0,9446408,9445376,2306,True,2048
capsule,1,9446408,9445376,2306,True,2048
capsule,2,9446408,9445376,2306,True,2048
carpet,0,9446408,9445376,2306,True,2048
carpet,1,9446408,9445376,2306,True,2048
carpet,2,9446408,9445376,2306,True,2048
grid,0,9446408,9445376,2306,True,2048
grid,1,9446408,9445376,2306,True,2048
grid,2,9446408,9445376,2306,True,2048
hazelnut,0,9446408,9445376,2306,True,2048
hazelnut,1,9446408,9445376,2306,True,2048
hazelnut,2,9446408,9445376,2306,True,2048
leather,0,9446408,9445376,2306,True,2048
leather,1,9446408,9445376,2306,True,2048
leather,2,9446408,9445376,2306,True,2048
metal_nut,0,9446408,9445376,2306,True,2048
metal_nut,1,9446408,9445376,2306,True,2048
metal_nut,2,9446408,9445376,2306,True,2048
pill,0,9446408,9445376,2306,True,2048
pill,1,9446408,9445376,2306,True,2048
pill,2,9446408,9445376,2306,True,2048
screw,0,9446408,9445376,2306,True,2048
screw,1,9446408,9445376,2306,True,2048
screw,2,9446408,9445376,2306,True,2048
tile,0,9446408,9445376,2306,True,2048
tile,1,9446408,9445376,2306,True,2048
tile,2,9446408,9445376,2306,True,2048
toothbrush,0,9446408,9445376,2306,True,2048
toothbrush,1,9446408,9445376,2306,True,2048
toothbrush,2,9446408,9445376,2306,True,2048
transistor,0,9446408,9445376,2306,True,2048
transistor,1,9446408,9445376,2306,True,2048
transistor,2,9446408,9445376,2306,True,2048
wood,0,9446408,9445376,2306,True,2048
wood,1,9446408,9445376,2306,True,2048
wood,2,9446408,9445376,2306,True,2048
zipper,0,9446408,9445376,2306,True,2048
zipper,1,9446408,9445376,2306,True,2048
zipper,2,9446408,9445376,2306,True,2048
