method,auroc_mean,auroc_sd,ap_mean,ap_sd,fpr_mean,tpr_mean
PatchScore_same_centers,0.9565740271799966,0.0020914910775565285,0.9840753389655106,0.0010417574324300962,0.11396996464476926,0.7996741307988512
PatchScore_byte_budget,0.9895598151452027,0.0014717310038568608,0.9969847811193845,0.00046855227343717856,0.1371359073465578,0.8930349320378781
RBF_SVDD,0.7556455607659389,0.0028242154768710497,0.8892241827481362,0.0019259692945740557,0.07273998533765554,0.4169216943954385
DeepSVDD_head,0.8703052863398474,0.005351421043451524,0.9412287453498521,0.0033264654584983914,0.04920436386654898,0.580531623800893
DROCC_head,0.4946310852621183,0.02551768333399201,0.7288115316020948,0.0143864863325783,0.044577008279076534,0.0842892570829107
Bubble_B,0.7990844953622968,0.006337201336019146,0.9199338852572132,0.008810098583665714,0.12775437543355653,0.4962896991285118
Bubble_BA,0.802152984049108,0.005596261213575532,0.9219957443636476,0.00680646242619459,0.12286910811634728,0.5154771593598415
Bubble_BAD,0.7773846487898218,0.012124322159907346,0.9065229576304984,0.0021557333130174435,0.11488725147484023,0.4695569088816122
Bubble_BAF,0.8176304485633786,0.006576334734567186,0.9275305101591917,0.007676987873702034,0.10853372420821124,0.5103915286849937
NBD,0.7866245775762019,0.01990505975302445,0.9099304209070683,0.0077117424048233725,0.11156577299032307,0.4673453695092869
PatchCore_same_fit_top1pct,0.9896367111839047,0.0015018146766007674,0.9971037724222227,0.00044350016524253633,0.13345901856129092,0.8928390839598331
