track,dataset,variant,balanced_seeds,repeats,classes,auroc_mean,auroc_sd,ap_mean,ap_sd,pixel_auroc_mean
DROCC,cifar10,fixed_final_epoch,"0,1,2",3,10,0.6470876222222222,0.021791943970197278,0.9388415220137768,0.005289464761211404,
DROCC,cifar10,test_selected,"0,1,2",3,10,0.6598968481481481,0.019997338799069328,0.9418634298265168,0.0048445712016402616,
DeepSVDD,cifar10,one-class,"1,2,3,4,5,6,7,8,9,10",10,10,0.6108637744444445,0.006168595811191268,0.9270925148762655,0.001430450334705426,
DeepSVDD,cifar10,soft-boundary,"1,2,3,4,5,6,7,8,9,10",10,10,0.6151591538888889,0.006327340641908864,0.928067491598765,0.0013900880266456105,
DeepSVDD,mnist,one-class,"1,2,3,4,5,6,7,8,9,10",10,10,0.92694393045293,0.007375484267658099,0.9895717617382418,0.0010932814030640613,
DeepSVDD,mnist,soft-boundary,"1,2,3,4,5,6,7,8,9,10",10,10,0.9273432491576494,0.007754582449625422,0.989923113411334,0.0010381112619758683,
Gaussian_OCSVM_equiv_SVDD,cifar10,nu_0.01,"1,2,3,4,5,6,7,8,9,10",10,10,0.6055984868272322,0.0020153839447579784,0.9275777576173067,0.0016662822631489274,
Gaussian_OCSVM_equiv_SVDD,cifar10,nu_0.1,"1,2,3,4,5,6,7,8,9,10",10,10,0.6066681924635202,0.0026322329813282803,0.9283812271816648,0.001839846152780094,
Gaussian_OCSVM_equiv_SVDD,mnist,nu_0.01,"1,2,3,4,5,6,7,8,9,10",10,10,0.9550527133081775,0.0005223704988090513,0.9941596202621552,7.84268391321872e-05,
Gaussian_OCSVM_equiv_SVDD,mnist,nu_0.1,"1,2,3,4,5,6,7,8,9,10",10,10,0.9550660771736643,0.0004367879933833649,0.9941291885928323,7.267470343730187e-05,
PatchCore,mvtec,author_code,"0,1,2",3,15,0.9902350809845291,0.001379811765925937,0.9972086547341816,0.0004334995970168917,0.981143696452326
