track,dataset,class_or_category,seed,variant,auroc,average_precision,pixel_auroc,test_count,memory_bytes,selected_epoch,nu,selected_gamma,paper_reference_auroc_percent
DeepSVDD,mnist,0,1,one-class,0.9656562514140912,0.995616383943211,,10000,,,0.1,,98.0
DeepSVDD,mnist,0,1,soft-boundary,0.9694504841848046,0.9961938499719792,,10000,,,0.1,,97.8
DeepSVDD,mnist,0,2,one-class,0.9784244762206432,0.997092508578844,,10000,,,0.1,,98.0
DeepSVDD,mnist,0,2,soft-boundary,0.9789218969184128,0.9971489212785808,,10000,,,0.1,,97.8
DeepSVDD,mnist,0,3,one-class,0.975252613240418,0.9965084084324284,,10000,,,0.1,,98.0
DeepSVDD,mnist,0,3,soft-boundary,0.9781897370921762,0.9969960826752432,,10000,,,0.1,,97.8
DeepSVDD,mnist,0,4,one-class,0.9680180098646998,0.995744927571721,,10000,,,0.1,,98.0
DeepSVDD,mnist,0,4,soft-boundary,0.9695640074211502,0.996205582386882,,10000,,,0.1,,97.8
DeepSVDD,mnist,0,5,one-class,0.980145142314132,0.9974768454160368,,10000,,,0.1,,98.0
DeepSVDD,mnist,0,5,soft-boundary,0.9804148377754648,0.9975157937344954,,10000,,,0.1,,97.8
DeepSVDD,mnist,0,6,one-class,0.9804597493099234,0.9973500024631928,,10000,,,0.1,,98.0
DeepSVDD,mnist,0,6,soft-boundary,0.9775067876374496,0.9970504089412578,,10000,,,0.1,,97.8
DeepSVDD,mnist,0,7,one-class,0.9733444952260284,0.996368335542484,,10000,,,0.1,,98.0
DeepSVDD,mnist,0,7,soft-boundary,0.9735655459523056,0.9964504153845212,,10000,,,0.1,,97.8
DeepSVDD,mnist,0,8,one-class,0.9764828725281688,0.9969555957038736,,10000,,,0.1,,98.0
DeepSVDD,mnist,0,8,soft-boundary,0.9748387936105708,0.9967939707333172,,10000,,,0.1,,97.8
DeepSVDD,mnist,0,9,one-class,0.9670692112765285,0.9956007228550494,,10000,,,0.1,,98.0
DeepSVDD,mnist,0,9,soft-boundary,0.9656925652744468,0.995469075968802,,10000,,,0.1,,97.8
DeepSVDD,mnist,0,10,one-class,0.9763463278881396,0.9969977331188704,,10000,,,0.1,,98.0
