category,method,auroc_mean,auroc_sd
bottle,Bubble_B,0.5476190476190476,0.0415663948418206
bottle,Bubble_BA,0.5452380952380952,0.04694630609895313
bottle,Bubble_BAD,0.4748677248677248,0.04903537457819115
bottle,Bubble_BAF,0.6304232804232804,0.10733472923573796
bottle,DROCC_head,0.5761904761904763,0.1473457104140635
bottle,DeepSVDD_head,0.9753968253968254,0.021399156766210764
bottle,NBD,0.5484126984126984,0.04881436290375168
bottle,PatchScore_byte_budget,1.0,0.0
bottle,PatchScore_same_centers,1.0,0.0
bottle,RBF_SVDD,0.7703703703703705,0.02749668815043839
cable,Bubble_B,0.8813718140929536,0.012862954434705686
cable,Bubble_BA,0.8724387806096953,0.010700773736734908
cable,Bubble_BAD,0.80715892053973,0.02643691150612049
cable,Bubble_BAF,0.8951774112943527,0.011353687410072538
cable,DROCC_head,0.49821964017991,0.0030836736641500183
cable,DeepSVDD_head,0.6954647676161919,0.007792587288715061
cable,NBD,0.8224012993503248,0.029651285073228017
cable,PatchScore_byte_budget,0.9988755622188904,0.0005622188905547165
cable,PatchScore_same_centers,0.9720139930034982,0.010595225664346298
cable,RBF_SVDD,0.7817966016991504,0.010248114760183917
capsule,Bubble_B,0.7767584097859327,0.01438930914343151
capsule,Bubble_BA,0.776359526658689,0.015429783819587106
capsule,Bubble_BAD,0.7282276293046138,0.03259227469161649
capsule,Bubble_BAF,0.7643930328413776,0.04760989425545629
capsule,DROCC_head,0.5393564685547135,0.03899596866286951
capsule,DeepSVDD_head,0.7685148251562293,0.006000948861266761
capsule,NBD,0.7053583300093073,0.038723177353810166
capsule,PatchScore_byte_budget,0.970748570668794,0.01128446876357866
capsule,PatchScore_same_centers,0.927536231884058,0.010404148469346808
capsule,RBF_SVDD,0.6044408988166468,0.002993838651561686
carpet,Bubble_B,0.8852327447833065,0.034651876145815094
carpet,Bubble_BA,0.8899812734082397,0.04403822672263141
carpet,Bubble_BAD,0.8838951310861424,0.07970752365583585
carpet,Bubble_BAF,0.9218833600856072,0.04769094643627869
carpet,DROCC_head,0.5066880684858213,0.0032435408381440165
carpet,DeepSVDD_head,0.9058319957196362,0.011674080537003053
carpet,NBD,0.8892455858747993,0.07616051019306284
carpet,PatchScore_byte_budget,0.9866238630283574,0.0019794875049424835
carpet,PatchScore_same_centers,0.9886302835741038,0.0010098761951940595
carpet,RBF_SVDD,0.9862225789192083,0.001009876195194043
grid,Bubble_B,0.8738512949039264,0.008722060575531002
grid,Bubble_BA,0.8766360345307714,0.008368130994885349
grid,Bubble_BAD,0.8117516012252853,0.017708842211734546
grid,Bubble_BAF,0.8003341687552213,0.03270972756967741
grid,DROCC_head,0.39069896964633805,0.12750268775950627
grid,DeepSVDD_head,0.6867167919799498,0.013444842890084427
grid,NBD,0.723196881091618,0.0418906670641
grid,PatchScore_byte_budget,0.9604566972988026,0.005562513048019423
grid,PatchScore_same_centers,0.93734335839599,0.015651624056136338
grid,RBF_SVDD,0.606516290726817,0.007518796992481189
hazelnut,Bubble_B,0.7416666666666667,0.14060743465504266
hazelnut,Bubble_BA,0.7455952380952381,0.13612359954740208
hazelnut,Bubble_BAD,0.6948809523809524,0.15356076928677323
hazelnut,Bubble_BAF,0.7347619047619047,0.1871157059548074
hazelnut,DROCC_head,0.4642261904761904,0.033716599749076974
hazelnut,DeepSVDD_head,0.7378571428571429,0.021803271613710283
hazelnut,NBD,0.6725,0.1864131767042759
hazelnut,PatchScore_byte_budget,1.0,0.0
hazelnut,PatchScore_same_centers,1.0,0.0
hazelnut,RBF_SVDD,0.8773809523809524,0.005105186105331326
leather,Bubble_B,0.9583333333333334,0.05915529526875284
leather,Bubble_BA,0.96875,0.04133986423538423
leather,Bubble_BAD,0.9326313405797103,0.02755409435359215
leather,Bubble_BAF,0.9478034420289855,0.040444499889135635
leather,DROCC_head,0.6708559782608696,0.019604217432755516
leather,DeepSVDD_head,0.9975090579710145,0.0037415560783194326
leather,NBD,0.9013813405797101,0.04492735931803937
leather,PatchScore_byte_budget,1.0,0.0
leather,PatchScore_same_centers,1.0,0.0
leather,RBF_SVDD,1.0,0.0
metal_nut,Bubble_B,0.6285434995112414,0.02928883336574518
metal_nut,Bubble_BA,0.631150211795373,0.025019155213827714
metal_nut,Bubble_BAD,0.6013359400456174,0.04388587336207214
metal_nut,Bubble_BAF,0.651840990550668,0.03243653543394706
metal_nut,DROCC_head,0.5161290322580645,0.026261393219960266
metal_nut,DeepSVDD_head,0.8844900619094167,0.011148981499462755
metal_nut,NBD,0.6042684913652655,0.043569016854153764
metal_nut,PatchScore_byte_budget,0.9982078853046593,0.0018504100181819425
metal_nut,PatchScore_same_centers,0.9753991528185076,0.005664821978075488
metal_nut,RBF_SVDD,0.34815900944933204,0.008328040351340587
pill,Bubble_B,0.6328423349699945,0.04063551434705082
pill,Bubble_BA,0.6290234588106928,0.03361248619912567
pill,Bubble_BAD,0.6500272776868521,0.06052205074335135
pill,Bubble_BAF,0.6484815420985633,0.06070761409434237
pill,DROCC_head,0.47167666848517914,0.049057449223286496
pill,DeepSVDD_head,0.7545917439534461,0.009138364363885897
pill,NBD,0.6533915257319513,0.06102667431433429
pill,PatchScore_byte_budget,0.9471722131296598,0.011781097899069294
pill,PatchScore_same_centers,0.8749772685942898,0.0041934361002364355
pill,RBF_SVDD,0.6746681214766322,0.0077601703194587635
screw,Bubble_B,0.7225524356083897,0.08877924517827127
screw,Bubble_BA,0.7254218760675002,0.09009534201679459
screw,Bubble_BAD,0.7086834733893558,0.09768798824663312
screw,Bubble_BAF,0.6952244312359092,0.09484778807537417
screw,DROCC_head,0.5633326501332241,0.2859006407946984
screw,DeepSVDD_head,0.5476532076245132,0.10025898172256509
